# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
5.59183556998198 0.952009165173242 0.19492903287054342 0.01626456985080133  -4.150706722988538 -4.150706722988538 -4.150706722988538 0.0 0.0 0.0 304.5503969101495 6.421310143222465E-4 17.943133936613687 3.4912818053201196E-4 4.150706722988538 0.7839884069488225 2.727984224575081E-6 5.59183556998198 304.5503969101495
5.601419743576 0.9503802529474474 0.20218530385766162 0.01793058621809542  -4.317726725487599 -4.317726725487599 -4.317726725487599 0.0 0.0 0.0 304.95955613773504 6.422973395438006E-4 17.96563452022332 3.491114992690368E-4 4.317726725487599 0.78400116950154 2.719820146233074E-6 5.601419743576 304.95955613773504
5.611003917178001 0.9487569054205857 0.20943369981102344 0.01959653848896119  -4.4847486133813685 -4.4847486133813685 -4.4847486133813685 0.0 0.0 0.0 305.3685708569838 6.424617024938565E-4 17.98805966556551 3.490948180060477E-4 4.4847486133813685 0.7840140176515337 2.711704354311095E-6 5.611003917178001 305.3685708569838
5.620588090787941 0.9471390941260552 0.2166742296521422 0.02126242679717929  -4.651772386110458 -4.651772386110458 -4.651772386110458 0.0 0.0 0.0 305.77744143043884 6.426241125172707E-4 18.01040976566744 3.4907813674304485E-4 4.651772386110458 0.7840269509794143 2.7036364217215363E-6 5.620588090787941 305.77744143043884
5.630172264405783 0.9455267907910866 0.22390690236896857 0.022928251276012026  -4.81879804311713 -4.81879804311713 -4.81879804311713 0.0 0.0 0.0 306.18616821922467 6.42784578898242E-4 18.032685210833517 3.490614554800282E-4 4.81879804311713 0.7840399690686529 2.6956159263984384E-6 5.630172264405783 306.18616821922467
5.639756438031483 0.9439199673350978 0.23113172701447907 0.024594012058204506  -4.985825583845115 -4.985825583845115 -4.985825583845115 0.0 0.0 0.0 306.5947515830551 6.429431108608083E-4 18.05488638866881 3.49044774216998E-4 4.985825583845115 0.7840530715055546 2.6876424512239126E-6 5.639756438031483 306.5947515830551
5.649340611665004 0.942318595868062 0.23834871270529953 0.026259709275988533  -5.152855007739709 -5.152855007739709 -5.152855007739709 0.0 0.0 0.0 307.0031918802412 6.430997175693411E-4 18.077013684102386 3.4902809295395403E-4 5.152855007739709 0.7840662578792358 2.6797155839558392E-6 5.649340611665004 307.0031918802412
5.6589247853063025 0.9407226486888957 0.24555786862034368 0.02792534306108506  -5.319886314247728 -5.319886314247728 -5.319886314247728 0.0 0.0 0.0 307.41148946769937 6.432544081290331E-4 18.09906747941036 3.490114116908966E-4 5.319886314247728 0.7840795277815998 2.6718349171568344E-6 5.6589247853063025 307.41148946769937
5.668508958955344 0.9391320982838589 0.25275920399947926 0.029590913544707914  -5.4869195028175834 -5.4869195028175834 -5.4869195028175834 0.0 0.0 0.0 307.819644700959 6.434071915863813E-4 18.121048154238675 3.489947304278257E-4 5.4869195028175834 0.7840928808073132 2.664000048124458E-6 5.668508958955344 307.819644700959
5.678093132612085 0.9375469173249774 0.25995272814220416 0.03125642085756498  -5.653954572899119 -5.653954572899119 -5.653954572899119 0.0 0.0 0.0 308.22765793417005 6.435580769296659E-4 18.142956085625755 3.4897804916474135E-4 5.653954572899119 0.7841063165537834 2.656210578822626E-6 5.678093132612085 308.22765793417005
5.68767730627649 0.9359670786684745 0.2671384504063577 0.03292186512986261  -5.820991523943762 -5.820991523943762 -5.820991523943762 0.0 0.0 0.0 308.63552952011116 6.437070730894246E-4 18.164791648024742 3.489613679016437E-4 5.820991523943762 0.7841198346211341 2.6484661158142267E-6 5.68767730627649 308.63552952011116
5.6972614799485175 0.9343925553532237 0.27431638020683946 0.03458724649130712  -5.988030355404393 -5.988030355404393 -5.988030355404393 0.0 0.0 0.0 309.0432598101969 6.438541889389212E-4 18.186555213325715 3.489446866385327E-4 5.988030355404393 0.7841334346121839 2.640766270194885E-6 5.6972614799485175 309.0432598101969
5.706845653628129 0.9328233205992144 0.28148652701435867 0.0362525650711086  -6.155071066735435 -6.155071066735435 -6.155071066735435 0.0 0.0 0.0 309.4508491544857 6.439994332946105E-4 18.20824715087749 3.489280053754086E-4 6.155071066735435 0.7841471161324226 2.633110657527879E-6 5.706845653628129 309.4508491544857
5.716429827315289 0.9312593478060321 0.28864890035419877 0.03791782099798362  -6.3221136573928565 -6.3221136573928565 -6.3221136573928565 0.0 0.0 0.0 309.85829790168725 6.441428149165986E-4 18.22986782750937 3.489113241122713E-4 6.3221136573928565 0.7841608787899896 2.6254988977801663E-6 5.716429827315289 309.85829790168725
5.7260140010099585 0.9297006105513583 0.295803509804997 0.03958301440015693  -6.489158126834053 -6.489158126834053 -6.489158126834053 0.0 0.0 0.0 310.26560639917 6.442843425090982E-4 18.25141760755253 3.48894642849121E-4 6.489158126834053 0.784174722195651 2.6179306152595137E-6 5.7260140010099585 310.26560639917
5.735598174712099 0.9281470825894805 0.30295036499755096 0.04124814540536486  -6.656204474517923 -6.656204474517923 -6.656204474517923 0.0 0.0 0.0 310.67277499296836 6.444240247208797E-4 18.272896852861255 3.488779615859576E-4 6.656204474517923 0.7841886459627784 2.6104054385527035E-6 5.735598174712099 310.67277499296836
5.745182348421674 0.9265987378498194 0.31008947561364103 0.0429132141408581  -6.823252699904856 -6.823252699904856 -6.823252699904856 0.0 0.0 0.0 311.07980402779043 6.445618701457184E-4 18.294305922833964 3.488612803227814E-4 6.823252699904856 0.7842026497073259 2.6029230004647772E-6 5.745182348421674 311.07980402779043
5.754766522138648 0.9250555504354704 0.3172208513848715 0.04457822073340444  -6.990302802456747 -6.990302802456747 -6.990302802456747 0.0 0.0 0.0 311.4866938470252 6.446978873228359E-4 18.315645174433996 3.488445990595922E-4 6.990302802456747 0.7842167330478109 2.5954829379593286E-6 5.754766522138648 311.4866938470252
5.764350695862982 0.9235174946217609 0.32434450209152654 0.0462431653092907  -7.157354781636916 -7.157354781636916 -7.157354781636916 0.0 0.0 0.0 311.8934447927498 6.448320847373396E-4 18.336914962210205 3.488279177963902E-4 7.157354781636916 0.7842308956052901 2.5880848920997975E-6 5.764350695862982 311.8934447927498
5.773934869594639 0.9219845448548195 0.3311969082625928 0.04843471091127137  -7.300420302164195 -7.300420302164195 -7.300420302164195 0.0 0.0 0.0 312.30284412109444 6.449490254260762E-4 15.740080456626387 3.4881070252717653E-4 7.300420302164195 0.7955651463566253 3.0534212358711597E-6 5.773934869594639 312.30284412109444
5.783519043333582 0.9204566757501618 0.3377804890802958 0.050654742764910346  -7.442311948902172 -7.442311948902172 -7.442311948902172 0.0 0.0 0.0 312.71826418614495 6.450721152599956E-4 15.774349794654707 3.4879346043999485E-4 7.442311948902172 0.807430659585394 3.086952401833346E-6 5.783519043333582 312.71826418614495
5.793103217079777 0.9189338620912881 0.34436035843688445 0.05287685490633961  -7.584235567462997 -7.584235567462997 -7.584235567462997 0.0 0.0 0.0 313.1396898545825 6.452022473808231E-4 15.809062234350495 3.487762183528001E-4 7.584235567462997 0.819258213311249 3.1199691004703217E-6 5.793103217079777 313.1396898545825
5.802687390833188 0.917416078828297 0.350936612367729 0.055101041828734626  -7.726191610523091 -7.726191610523091 -7.726191610523091 0.0 0.0 0.0 313.5671062273796 6.453393353608179E-4 15.844213346999988 3.4875897626559247E-4 7.726191610523091 0.8310479958174788 3.1524749522718015E-6 5.802687390833188 313.5671062273796
5.812271564593779 0.915903301076512 0.3575093452435568 0.05732729817338446  -7.868180529899107 -7.868180529899107 -7.868180529899107 0.0 0.0 0.0 314.00049882727177 6.454832931726268E-4 15.879798752996223 3.4874173417837187E-4 7.868180529899107 0.8428001941455249 3.1844736384063544E-6 5.812271564593779 314.00049882727177
5.821855738361514 0.9143955041151206 0.36407864979368015 0.059555618727676805  -8.010202776594053 -8.010202776594053 -8.010202776594053 0.0 0.0 0.0 314.4398535930823 6.456340351936485E-4 15.915814121270694 3.4872449209113836E-4 8.010202776594053 0.8545149941052087 3.2159688974488922E-6 5.821855738361514 314.4398535930823
5.831439912136358 0.9128926633858291 0.3706446171289907 0.06178599842312017  -8.152258800842606 -8.152258800842606 -8.152258800842606 0.0 0.0 0.0 314.88515687415435 6.45791476210261E-4 15.952255168732828 3.487072500038921E-4 8.152258800842606 0.8661925802848484 3.246964522174611E-6 5.831439912136358 314.88515687415435
5.841024085918274 0.9113947544915276 0.3772073367647273 0.0640184323334041  -8.294349052155818 -8.294349052155818 -8.294349052155818 0.0 0.0 0.0 315.336395424888 6.459555314219049E-4 15.989117659717161 3.4869000791663314E-4 8.294349052155818 0.8778331360612843 3.2774643564199444E-6 5.841024085918274 315.336395424888
5.850608259707231 0.9099017531949705 0.38376689664301383 0.06625291567249582  -8.436473979365116 -8.436473979365116 -8.436473979365116 0.0 0.0 0.0 315.7935563993804 6.461261164450336E-4 16.026397405438065 3.486727658293615E-4 8.436473979365116 0.8894368436098045 3.307472292010887E-6 5.850608259707231 315.7935563993804
5.860192433503193 0.9084136354174698 0.3901482441170996 0.06889429204766026  -8.570468667890486 -8.570468667890486 -8.570468667890486 0.0 0.0 0.0 316.25663154046 6.462127653016846E-4 14.394456763207659 3.486529616516127E-4 8.570468667890486 0.9014150071970751 3.7257266295954736E-6 5.860192433503193 316.25663154046
5.869776607306125 0.9069303772376002 0.39635212376397977 0.07192608982676646  -8.696670436163107 -8.696670436163107 -8.696670436163107 0.0 0.0 0.0 316.72602100379277 6.462196705198749E-4 14.431337350420387 3.486307004832603E-4 8.696670436163107 0.9137493158489449 3.7606640734708748E-6 5.869776607306125 316.72602100379277
5.879360781115994 0.9054519548899167 0.4025538422169871 0.07496006370816354  -8.822910578817067 -8.822910578817067 -8.822910578817067 0.0 0.0 0.0 317.20171266260616 6.462334177496638E-4 14.468598546839866 3.486084393148919E-4 8.822910578817067 0.9260451716100976 3.795014945071972E-6 5.879360781115994 317.20171266260616
5.888944954932764 0.9039783447636869 0.4087534773745319 0.07799620914152985  -8.949189604972506 -8.949189604972506 -8.949189604972506 0.0 0.0 0.0 317.68369467068095 6.46253917750331E-4 14.506236684100644 3.4858617814650743E-4 8.949189604972506 0.9383027625617496 3.8287843292576385E-6 5.888944954932764 317.68369467068095
5.8985291287564054 0.9025095234016316 0.4149511057027264 0.081034521725507  -9.075508023245725 -9.075508023245725 -9.075508023245725 0.0 0.0 0.0 318.17195560612987 6.462810817181258E-4 14.544248135565967 3.48563916978107E-4 9.075508023245725 0.9505222755628016 3.861977352148315E-6 5.8985291287564054 318.17195560612987
5.908113302586883 0.9010454674986829 0.42114680225660556 0.08407499720576518  -9.201866341798032 -9.201866341798032 -9.201866341798032 0.0 0.0 0.0 318.66648446599083 6.463148212905934E-4 14.582629315850543 3.485416558096907E-4 9.201866341798032 0.9627038962597403 3.8945991776834106E-6 5.908113302586883 318.66648446599083
5.917697476424163 0.8995861539007497 0.4273406407011224 0.0871176314731102  -9.32826506838409 -9.32826506838409 -9.32826506838409 0.0 0.0 0.0 319.1672706609246 6.463550485507535E-4 14.621376680350103 3.4851939464125857E-4 9.32826506838409 0.9748478090964645 3.926655004269839E-6 5.917697476424163 319.1672706609246
5.92728165026821 0.8981315596034983 0.43353269333190503 0.09016242056162382  -9.454704710399444 -9.454704710399444 -9.454704710399444 0.0 0.0 0.0 319.67430401001286 6.464016760311359E-4 14.660486724777412 3.4849713347281073E-4 9.454704710399444 0.986954197324003 3.958150061521146E-6 5.92728165026821 319.67430401001286
5.936865824118994 0.8966816617511423 0.43972303109578686 0.0932093606468428  -9.581185774927556 -9.581185774927556 -9.581185774927556 0.0 0.0 0.0 320.1875747356566 6.464546167176725E-4 14.699955984704722 3.484748723043473E-4 9.581185774927556 0.9990232430101539 3.989089607086699E-6 5.936865824118994 320.1875747356566
5.946449997976484 0.8952364376352463 0.44591172361109244 0.09625844804396692  -9.707708768785926 -9.707708768785926 -9.707708768785926 0.0 0.0 0.0 320.7070734585704 6.465137840534505E-4 14.739781035112506 3.4845261113586817E-4 9.707708768785926 1.0110551270490085 4.019478923570169E-6 5.946449997976484 320.7070734585704
5.9560341718406455 0.8937958646935404 0.45209883918769994 0.09930967920610506  -9.834274198571729 -9.834274198571729 -9.834274198571729 0.0 0.0 0.0 321.232791192873 6.465790919423269E-4 14.779958489944509 3.4843034996737365E-4 9.834274198571729 1.023050029170397 4.04932331553666E-6 5.9560341718406455 321.232791192873
5.965618345711446 0.8923599205087464 0.45828444484687025 0.10236305072255333  -9.96088257070682 -9.96088257070682 -9.96088257070682 0.0 0.0 0.0 321.76471934127056 6.46650454752408E-4 14.820485001668805 3.484080887988637E-4 9.96088257070682 1.035008127949243 4.078628106607628E-6 5.965618345711446 321.76471934127056
5.975202519588854 0.8909285828074136 0.4644686063408458 0.10541855931710589  -10.087534391482102 -10.087534391482102 -10.087534391482102 0.0 0.0 0.0 322.3028496903321 6.46727787319394E-4 14.861357260844976 3.483858276303384E-4 10.087534391482102 1.0469296008148254 4.107398636642706E-6 5.975202519588854 322.3028496903321
5.984786693472839 0.8895018294587687 0.47065138817221985 0.10847620184639775  -10.214230167101295 -10.214230167101295 -10.214230167101295 0.0 0.0 0.0 322.8471744058536 6.468110049497926E-4 14.90257199569719 3.4836356646179774E-4 10.214230167101295 1.0588146240599547 4.135640259007493E-6 5.984786693472839 322.8471744058536
5.994370867363369 0.8880796384735741 0.4768328536130746 0.1115359752982773  -10.340970403724093 -10.340970403724093 -10.340970403724093 0.0 0.0 0.0 323.3976860283105 6.469000234240035E-4 14.94412597169305 3.4834130529324197E-4 10.340970403724093 1.0706633728500512 4.163358337926285E-6 5.994370867363369 323.3976860283105
6.0039550412604115 0.8866619880029991 0.48301306472389455 0.11459787679021106  -10.467755607508773 -10.467755607508773 -10.467755607508773 0.0 0.0 0.0 323.9543774683961 6.469947589992737E-4 14.986015991128298 3.48319044124671E-4 10.467755607508773 1.0824760212321483 4.190558245918709E-6 6.0039550412604115 323.9543774683961
6.013539215163934 0.8852488563375007 0.48919208237225187 0.11766190356771775  -10.594586284654246 -10.594586284654246 -10.594586284654246 0.0 0.0 0.0 324.5172420026445 6.470951284125294E-4 15.028238892717075 3.482967829560851E-4 10.594586284654246 1.0942527421438006 4.217245361319144E-6 6.013539215163934 324.5172420026445
6.02312338907391 0.8838402219057147 0.4953699662512709 0.12072805300283364  -10.721462941441633 -10.721462941441633 -10.721462941441633 0.0 0.0 0.0 325.08627326913575 6.472010488830817E-4 15.07079155118783 3.482745217874841E-4 10.721462941441633 1.1059937074219233 4.243425065877801E-6 6.02312338907391 325.08627326913575
6.032707562990306 0.8824360632733589 0.5015467748978575 0.12379632259260187  -10.848386084275111 -10.848386084275111 -10.848386084275111 0.0 0.0 0.0 325.6614652632823 6.473124381152132E-4 15.113670876884603 3.4825226061886824E-4 10.848386084275111 1.1176990878115178 4.269102742442181E-6 6.032707562990306 325.6614652632823
6.042291736913093 0.881036359142146 0.5077225657107161 0.12686670995759516  -10.975356219722425 -10.975356219722425 -10.975356219722425 0.0 0.0 0.0 326.24281233369487 6.474292143006436E-4 15.156873815373824 3.482299994502375E-4 10.975356219722425 1.1293690529743434 4.2942837727177915E-6 6.042291736913093 326.24281233369487
6.051875910842239 0.8796410883487062 0.5138973949681388 0.12993921284046298  -11.102373854554793 -11.102373854554793 -11.102373854554793 0.0 0.0 0.0 326.83030917812584 6.475512961208777E-4 15.200397347056292 3.48207738281592E-4 11.102373854554793 1.1410037714974894 4.318973535106789E-6 6.051875910842239 326.83030917812584
6.061460084777713 0.8782502298635211 0.5200713178455764 0.13301382910450718  -11.229439495786362 -11.229439495786362 -11.229439495786362 0.0 0.0 0.0 327.42395083948946 6.476786027494377E-4 15.244238486784475 3.4818547711293183E-4 11.229439495786362 1.1526034109018726 4.343177402623253E-6 6.061460084777713 327.42395083948946
6.071044258719488 0.8768637627898663 0.5262443884329913 0.13609055673228526  -11.356553650713177 -11.356553650713177 -11.356553650713177 0.0 0.0 0.0 328.0237327019566 6.478110538539827E-4 15.28839428348494 3.48163215944257E-4 11.356553650713177 1.1641681376506585 4.366900740883814E-6 6.071044258719488 328.0237327019566
6.080628432667532 0.875481666362766 0.5324166597519857 0.13916939382423546  -11.483716826951571 -11.483716826951571 -11.483716826951571 0.0 0.0 0.0 328.62965048712243 6.479485695983143E-4 15.33286181978578 3.481409547755676E-4 11.483716826951571 1.1756981171575862 4.3901489061722E-6 6.080628432667532 328.62965048712243
6.090212606621817 0.8741039199479553 0.5385881837727239 0.14225033859733333  -11.610929532476264 -11.610929532476264 -11.610929532476264 0.0 0.0 0.0 329.2417002502468 6.480910706442741E-4 15.377638211649131 3.4811869360686375E-4 11.610929532476264 1.1871935137952376 4.4129272435764605E-6 6.090212606621817 329.2417002502468
6.099796780582313 0.8727305030408542 0.5447590114306289 0.14533338938376794  -11.73819227565783 -11.73819227565783 -11.73819227565783 0.0 0.0 0.0 329.85987837656455 6.482384781535317E-4 15.42272060800851 3.4809643243814546E-4 11.73819227565783 1.198654490903207 4.4352410851973555E-6 6.099796780582313 329.85987837656455
6.109380954548989 0.87136139526555 0.5509291926428719 0.1484185446296455  -11.865505565299822 -11.865505565299822 -11.865505565299822 0.0 0.0 0.0 330.48418157766486 6.483907137892672E-4 15.468106190411035 3.480741712694128E-4 11.865505565299822 1.2100812107962085 4.4570957484266085E-6 6.109380954548989 330.48418157766486
6.118965128521818 0.8699965763737891 0.5570987763246513 0.15150580289371834  -11.992869910675502 -11.992869910675502 -11.992869910675502 0.0 0.0 0.0 331.11460688793915 6.485476997177488E-4 15.51379217266444 3.4805191010066583E-4 11.992869910675502 1.2214738347721048 4.4784965342935654E-6 6.118965128521818 331.11460688793915
6.128549302500772 0.8686360262439798 0.5632678104052536 0.15459516284613337  -12.120285821564005 -12.120285821564005 -12.120285821564005 0.0 0.0 0.0 331.7511516610945 6.487093586098082E-4 15.559775800488676 3.4802964893190466E-4 12.120285821564005 1.232832523119854 4.49944872587885E-6 6.128549302500772 331.7511516610945
6.1381334764858195 0.8672797248802029 0.5694363418439116 0.15768662326720678  -12.247753808286186 -12.247753808286186 -12.247753808286186 0.0 0.0 0.0 332.39381356673283 6.488756136422139E-4 15.60605435117224 3.480073877631293E-4 12.247753808286186 1.2441574351273865 4.519957586793583E-6 6.1381334764858195 332.39381356673283
