#model: tadap
# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
22.76300191257535 0.9423185958680613 0.2544306996206287 -248120.5570696722  -18.357436408744928 -18.357436408744928 -18.357436408744928 0.0 0.0 0.0 333.8565933698079 2.6986656803086075E-4 21.8112940617002 1.264589659008562E-4 18.357436408744928 2.289597819831549 5.831736076279357E-7 22.76300191257535 333.8565933698079
22.80161961646753 0.9407226486888949 0.26236673654969783 -248120.5559375003  -19.075315689926786 -19.075315689926786 -19.075315689926786 0.0 0.0 0.0 335.150095348056 2.696938413074335E-4 22.02790928187262 1.2661723329827088E-4 19.075315689926786 2.2729451605303868 5.729844045795101E-7 22.80161961646753 335.150095348056
22.840237320390905 0.9391320982838582 0.2703285164361206 -248120.55480576147  -19.793077475944905 -19.793077475944905 -19.793077475944905 0.0 0.0 0.0 336.4369515207017 2.695177170688394E-4 22.245878923291137 1.267755006958134E-4 19.793077475944905 2.256380655652443 5.629859037395837E-7 22.840237320390905 336.4369515207017
22.87885502434531 0.9375469173249766 0.27831600175813065 -248120.55367446208  -20.510722173784057 -20.510722173784057 -20.510722173784057 0.0 0.0 0.0 337.7171366927136 2.693382307502948E-4 22.46519122060218 1.2693376809348308E-4 20.510722173784057 2.2399037398968398 5.531744611085428E-7 22.87885502434531 337.7171366927136
22.917472728330587 0.9359670786684738 0.28632915236944545 -248120.55254360838  -21.228250198755727 -21.228250198755727 -21.228250198755727 0.0 0.0 0.0 338.9906265091792 2.691554175929904E-4 22.685834366628875 1.2709203549127928E-4 21.228250198755727 2.2235138523642983 5.435464888556596E-7 22.917472728330587 338.9906265091792
22.95609043234658 0.9343925553532232 0.2943679255635436 -248120.5514132066  -21.945661974325862 -21.945661974325862 -21.945661974325862 0.0 0.0 0.0 340.25739744727 2.689693115488846E-4 22.90779651460384 1.2725030288920138E-4 21.945661974325862 2.2072104365164518 5.340984555203E-7 22.95609043234658 340.25739744727
22.994708136393136 0.9328233205992136 0.3024322761368218 -248120.55028326274  -22.662957931943975 -22.662957931943975 -22.662957931943975 0.0 0.0 0.0 341.5174268081814 2.687799466812049E-4 23.131065780374232 1.2740857028724874E-4 22.662957931943975 2.1909929401355868 5.248268861277748E-7 22.994708136393136 341.5174268081814
23.033325840470102 0.9312593478060315 0.3105221564506411 -248120.5491537828  -23.380138510873664 -23.380138510873664 -23.380138510873664 0.0 0.0 0.0 342.77069270904906 2.6858735615659075E-4 23.35563024457887 1.275668376854207E-4 23.380138510873664 2.1748608152848172 5.157283622256998E-7 23.033325840470102 342.77069270904906
23.07194354457733 0.9297006105513577 0.3186375164922687 -248120.54802477278  -24.097204158024113 -24.097204158024113 -24.097204158024113 0.0 0.0 0.0 344.0171740748439 2.683915726129287E-4 23.581477954797325 1.2772510508371674E-4 24.097204158024113 2.1588135182686883 5.067995218464504E-7 23.07194354457733 344.0171740748439
23.110561248714664 0.9281470825894798 0.32677830393472956 -248120.5468962384  -24.81415532778284 -24.81415532778284 -24.81415532778284 0.0 0.0 0.0 345.2568506302503 2.681926281819554E-4 23.808596927671058 1.278833724821361E-4 24.81415532778284 2.1428505095942056 4.980370594010044E-7 23.110561248714664 345.2568506302503
23.149178952881947 0.9265987378498187 0.33494446419558255 -248120.5457681854  -25.53099248185004 -25.53099248185004 -25.53099248185004 0.0 0.0 0.0 346.4897028915283 2.679905545953531E-4 24.0369751509966 1.2804163988067822E-4 25.53099248185004 2.126971253932272 4.894377255092118E-7 23.149178952881947 346.4897028915283
23.18779665707904 0.9250555504354698 0.3431359404946323 -248120.54464061945  -26.247716089074466 -26.247716089074466 -26.247716089074466 0.0 0.0 0.0 347.7157121583634 2.6778538303747797E-4 24.266600585790815 1.2819990727934254E-4 26.247716089074466 2.1111752200795255 4.809983267712715E-7 23.18779665707904 347.7157121583634
23.226414361305793 0.9235174946217604 0.35135267391057673 -248120.5435135461  -26.96432662528963 -26.96432662528963 -26.96432662528963 0.0 0.0 0.0 348.9348605057046 2.6757714391777187E-4 24.497461168327828 1.283581746781284E-4 26.96432662528963 2.09546188092062 4.727157254849587E-7 23.226414361305793 348.9348605057046
23.265032065562053 0.921984544854819 0.3595946034366232 -248120.54238697074  -27.680824573152403 -27.680824573152403 -27.680824573152403 0.0 0.0 0.0 350.14713077559605 2.673658676452791E-4 24.729544812148344 1.2851644207703518E-4 27.680824573152403 2.0798307133908702 4.645868393128767E-7 23.265032065562053 350.14713077559605
23.303649769847674 0.9204566757501612 0.36786166603507203 -248120.5412608988  -28.397210421982496 -28.397210421982496 -28.397210421982496 0.0 0.0 0.0 351.3525065690019 2.6715158373042644E-4 24.962839410040793 1.2867470947606227E-4 28.397210421982496 2.0642811984393084 4.566086409038071E-7 23.303649769847674 351.3525065690019
23.34226747416251 0.9189338620912875 0.3761537966908866 -248120.54013533558  -29.113484667603526 -29.113484667603526 -29.113484667603526 0.0 0.0 0.0 352.5509722376277 2.669343214737137E-4 25.19733283599463 1.2883297687520912E-4 29.113484667603526 2.048812820992132 4.487781574719983E-7 23.34226747416251 352.5509722376277
23.380885178506425 0.9174160788282965 0.38447092846425834 -248120.5390102863  -29.82964781218526 -29.82964781218526 -29.82964781218526 0.0 0.0 0.0 353.7425128757412 2.66714109323932E-4 25.433012947125707 1.2899124427447514E-4 29.82964781218526 2.033425069916537 4.4109247033801967E-7 23.380885178506425 353.7425128757412
23.41950288287927 0.9159033010765114 0.3928129925421845 -248120.53788575603  -30.545700364087406 -30.545700364087406 -30.545700364087406 0.0 0.0 0.0 354.92711431199297 2.664909757252513E-4 25.669867585573787 1.2914951167385973E-4 30.545700364087406 2.0181174379849365 4.335487144346065E-7 23.41950288287927 354.92711431199297
23.458120587280902 0.9143955041151202 0.40117991828906924 -248120.53676174983  -31.26164283770462 -31.26164283770462 -31.26164283770462 0.0 0.0 0.0 356.1047631012408 2.6626494839449526E-4 25.907884580372254 1.293077790733623E-4 31.26164283770462 2.002889421839554 4.2614407778072614E-7 23.458120587280902 356.1047631012408
