# rho0 5.912 g/cc e0 -1078.25 MJ/kg
# p0 = 0.00121236 GPa, c0 = 5.30907 km/s, T0 = 293 K
#rho   v   up   us   p   e   v/v0   T   csq
#g/cc cc/g km/s km/s GPa MJ/kg - K (km/s)^2
7.83276 0.127669 1.90201 7.75628 87.2179 -1081.1 0.754779 1564.84 65.7741
7.85049 0.127381 1.92092 7.77934 88.3472 -1081.07 0.753074 1590.96 65.5028
7.86822 0.127094 1.93978 7.80209 89.4755 -1081.03 0.751377 1617.51 65.0367
7.88595 0.126808 1.95858 7.82455 90.6028 -1080.99 0.749688 1644.48 64.5644
7.90368 0.126523 1.97733 7.84672 91.729 -1080.96 0.748006 1671.91 64.0978
7.92141 0.12624 1.99601 7.8686 92.8541 -1080.92 0.746332 1699.81 63.6428
7.93914 0.125958 2.01465 7.8902 93.9782 -1080.88 0.744665 1728.16 63.1778
7.95687 0.125678 2.03322 7.91154 95.1011 -1080.84 0.743006 1756.9 62.7174
7.9746 0.125398 2.05174 7.93259 96.2225 -1080.81 0.741354 1786.05 62.4502
7.99233 0.12512 2.0702 7.95339 97.3427 -1080.77 0.739709 1815.62 61.9949
8.01006 0.124843 2.0886 7.97392 98.4615 -1080.73 0.738072 1845.56 61.5348
8.02779 0.124567 2.10694 7.99421 99.579 -1080.69 0.736442 1875.89 61.0752
8.04552 0.124293 2.12523 8.01425 100.695 -1080.65 0.734819 1906.61 60.6313
8.06325 0.124019 2.14346 8.03405 101.81 -1080.61 0.733203 1937.69 60.1666
8.08098 0.123747 2.16164 8.05362 102.923 -1080.57 0.731594 1969.1 59.7242
8.09871 0.123476 2.17976 8.07295 104.035 -1080.54 0.729993 2000.87 59.2659
8.11644 0.123207 2.19818 8.09339 105.18 -1080.5 0.728398 2032.53 77.0808
8.13417 0.122938 2.21808 8.11918 106.47 -1080.45 0.72681 2062.69 76.559
8.1519 0.122671 2.23791 8.14465 107.759 -1080.41 0.725229 2093.35 76.0201
8.16963 0.122405 2.25768 8.1698 109.047 -1080.36 0.723656 2124.44 75.5054
8.18736 0.122139 2.27738 8.19464 110.333 -1080.32 0.722088 2155.96 74.9766
8.20509 0.121876 2.29703 8.21917 111.618 -1080.27 0.720528 2187.92 74.4491
8.22282 0.121613 2.3166 8.24339 112.901 -1080.23 0.718974 2220.32 73.933
8.24055 0.121351 2.33612 8.26733 114.182 -1080.18 0.717428 2253.09 73.6007
8.25828 0.121091 2.35557 8.29096 115.462 -1080.14 0.715887 2286.31 73.0765
8.27601 0.120831 2.37496 8.31432 116.74 -1080.09 0.714354 2319.92 72.5557
8.29374 0.120573 2.39428 8.3374 118.017 -1080.04 0.712826 2353.91 72.0458
8.31147 0.120316 2.41354 8.36021 119.292 -1080 0.711306 2388.28 71.5277
8.3292 0.120059 2.43274 8.38275 120.565 -1079.95 0.709792 2423.03 71.0151
8.34693 0.119804 2.45188 8.40504 121.837 -1079.91 0.708284 2458.12 70.5088
8.36466 0.119551 2.47096 8.42707 123.107 -1079.86 0.706783 2493.58 69.9882
8.38239 0.119298 2.48998 8.44885 124.375 -1079.81 0.705288 2529.43 69.6672
8.40012 0.119046 2.50893 8.47038 125.641 -1079.76 0.703799 2565.56 69.1679
8.41785 0.118795 2.52783 8.49167 126.905 -1079.72 0.702317 2602.04 68.661
8.43558 0.118545 2.54666 8.51272 128.168 -1079.67 0.700841 2638.85 68.157
8.45331 0.118297 2.56544 8.53355 129.428 -1079.62 0.699371 2675.95 67.6581
8.47104 0.118049 2.58415 8.55416 130.687 -1079.57 0.697907 2713.38 67.154
8.48877 0.117803 2.60281 8.57454 131.944 -1079.52 0.696449 2751.16 66.6509
8.5065 0.117557 2.62141 8.5947 133.2 -1079.48 0.694998 2789.2 66.1636
8.52423 0.117313 2.63994 8.61466 134.453 -1079.43 0.693552 2827.52 65.855
8.54197 0.117069 2.65842 8.6344 135.705 -1079.38 0.692112 2866.13 65.3623
8.5597 0.116827 2.67685 8.65393 136.954 -1079.33 0.690679 2905.03 64.865
