# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
10.021226343377155 0.9787025723135967 0.041412421699654006 0.0016339674726132288  -0.8041041375882286 -0.8041041375882286 -0.8041041375882286 0.0 0.0 0.0 305.8905605740544 NaN 3.7933441154924012 1.1856601956791389E-4 0.8041041375882286 1.999990952778556 6.237996950847246E-6 10.021226343377155 305.8905605740544
10.02858587246656 0.9779843464198948 0.04284276095589516 0.0016789291930245091  -0.8319091242264484 -0.8319091242264484 -0.8319091242264484 0.0 0.0 0.0 306.3400118794107 NaN 3.798875194879585 1.1856361838908116E-4 0.8319091242264484 1.9999915279660594 6.2242191782744865E-6 10.02858587246656 306.3400118794107
10.035945401556448 0.9772671739006207 0.044273091125050706 0.0017239278904528689  -0.8597164224486228 -0.8597164224486228 -0.8597164224486228 0.0 0.0 0.0 306.78979327115167 NaN 3.8043988592669455 1.1856121721024827E-4 0.8597164224486228 1.9999921617394336 6.21050063050747E-6 10.035945401556448 306.78979327115167
10.043304930646821 0.9765510524401002 0.045703410073826264 0.001768963564130293  -0.8875260339682585 -0.8875260339682585 -0.8875260339682585 0.0 0.0 0.0 307.23990476285513 NaN 3.8099151259429127 1.1855881603141524E-4 0.8875260339682585 1.999992853973495 6.196840925840273E-6 10.043304930646821 307.23990476285513
10.050664459737673 0.9758359797294425 0.04713371568151518 0.0018140362132909888  -0.9153379604989685 -0.9153379604989685 -0.9153379604989685 0.0 0.0 0.0 307.69034636811875 NaN 3.815424012144044 1.1855641485258204E-4 0.9153379604989685 1.9999936045434272 6.18323968584028E-6 10.050664459737673 307.69034636811875
10.058023988829008 0.9751219534665139 0.048564005839922944 0.0018591458371714858  -0.9431522037545408 -0.9431522037545408 -0.9431522037545408 0.0 0.0 0.0 308.14111810056096 NaN 3.820925535055228 1.1855401367374869E-4 0.9431522037545408 1.9999944133247798 6.1696965353131525E-6 10.058023988829008 308.14111810056096
10.065383517920822 0.9744089713559142 0.049994278453285426 0.0019042924350105165  -0.97096876544887 -0.97096876544887 -0.97096876544887 0.0 0.0 0.0 308.5922199738198 NaN 3.8264197118098733 1.1855161249491516E-4 0.97096876544887 1.999995280193466 6.156211102268275E-6 10.065383517920822 308.5922199738198
10.072743047013116 0.973697031108951 0.0514245314381945 0.0019494760060491377  -0.9987876472960251 -0.9987876472960251 -0.9987876472960251 0.0 0.0 0.0 309.04365200155405 NaN 3.831906559490104 1.185492113160815E-4 0.9987876472960251 1.9999962050257618 6.142783017884622E-6 10.072743047013116 309.04365200155405
10.080102576105885 0.972986130443617 0.05285476272351703 0.0019946965495305923  -1.026608851010176 -1.026608851010176 -1.026608851010176 0.0 0.0 0.0 309.495414197442 NaN 3.837386095126948 1.1854681013724768E-4 1.026608851010176 1.999997187698306 6.129411916477096E-6 10.080102576105885 309.495414197442
10.087462105199133 0.9722762670845629 0.05428497025032278 0.0020399540647004603  -1.0544323783056806 -1.0544323783056806 -1.0544323783056806 0.0 0.0 0.0 309.9475065751829 NaN 3.842858335700538 1.185444089584137E-4 1.0544323783056806 1.9999982280880961 6.116097435463223E-6 10.087462105199133 309.9475065751829
10.094821634292856 0.971567438763076 0.05571515197180382 0.0020852485508065163  -1.0822582308969975 -1.0822582308969975 -1.0822582308969975 0.0 0.0 0.0 310.3999291484954 NaN 3.8483232981402877 1.1854200777957956E-4 1.0822582308969975 1.999999326072491 6.102839215330371E-6 10.094821634292856 310.3999291484954
10.102181163387057 0.9708596432170539 0.05714530585320288 0.0021305800070988037  -1.1100864104987598 -1.1100864104987598 -1.1100864104987598 0.0 0.0 0.0 310.85268193111864 NaN 3.8537809993250938 1.1853960660074527E-4 1.1100864104987598 2.000000481529204 6.0896368996032825E-6 10.102181163387057 310.85268193111864
10.109540692481728 0.9701528781909818 0.058575429871734586 0.0021759484328295812  -1.1379169188257023 -1.1379169188257023 -1.1379169188257023 0.0 0.0 0.0 311.30576493681133 NaN 3.8592314560835104 1.1853720542191083E-4 1.1379169188257023 2.000001694336307 6.076490134812113E-6 10.109540692481728 311.30576493681133
10.116900221576874 0.9694471414359076 0.060005522016515274 0.0022213538272534018  -1.165749757592741 -1.165749757592741 -1.165749757592741 0.0 0.0 0.0 311.75917817935283 NaN 3.8646746851939535 1.1853480424307623E-4 1.165749757592741 2.000002964372227 6.063398570460778E-6 10.116900221576874 311.75917817935283
10.12425975067249 0.9687424307094186 0.06143558028848568 0.0022667961896270135  -1.1935849285149074 -1.1935849285149074 -1.1935849285149074 0.0 0.0 0.0 312.21292167254205 NaN 3.870110703384875 1.1853240306424148E-4 1.1935849285149074 2.0000042915157428 6.050361858995777E-6 10.12425975067249 312.21292167254205
10.131619279768579 0.9680387437756174 0.06286560270034014 0.002312275519209426  -1.221422433307394 -1.221422433307394 -1.221422433307394 0.0 0.0 0.0 312.66699543019814 NaN 3.8755395273349564 1.1853000188540656E-4 1.221422433307394 2.000005675645989 6.037379655775362E-6 10.131619279768579 312.66699543019814
10.138978808865135 0.9673360784050989 0.06429558727645139 0.0023577918152618395  -1.2492622736855081 -1.2492622736855081 -1.2492622736855081 0.0 0.0 0.0 313.1213994661598 NaN 3.880961173673285 1.185276007065715E-4 1.2492622736855081 2.0000071166424487 6.024451619039122E-6 10.138978808865135 313.1213994661598
10.146338337962161 0.9666344323749256 0.0657887871713745 0.002457377184903854  -1.2792984987092186 -1.2792984987092186 -1.2792984987092186 0.0 0.0 0.0 313.5761337942862 NaN 4.604206492183205 1.1852504626613773E-4 1.2792984987092186 2.000006709655843 5.074315345526435E-6 10.146338337962161 313.5761337942862
10.153697867059652 0.9659338034686059 0.06734515604277944 0.002633124224202868  -1.3124254618610558 -1.3124254618610558 -1.3124254618610558 0.0 0.0 0.0 314.0311946780245 NaN 4.610652649225302 1.1885041594513034E-4 1.3124254618610558 1.9999920387304508 5.077411136855144E-6 10.153697867059652 314.0311946780245
10.161057396157611 0.9652341894760682 0.06890148424529385 0.0028089225225990206  -1.3455550559198304 -1.3455550559198304 -1.3455550559198304 0.0 0.0 0.0 314.4865851198742 NaN 4.617091994241689 1.1884867968120361E-4 1.3455550559198304 1.9999903455038197 5.066579111082887E-6 10.161057396157611 314.4865851198742
10.168416925256034 0.9645355881936407 0.0704577697791515 0.0029847584079518126  -1.3786870058196485 -1.3786870058196485 -1.3786870058196485 0.0 0.0 0.0 314.9423051310324 NaN 4.6235227065334366 1.1884694341727677E-4 1.3786870058196485 1.9999886969731229 5.055792232131027E-6 10.168416925256034 314.9423051310324
10.175776454354923 0.9638379974240256 0.07201401050172146 0.0031606318796241163  -1.4118213132751847 -1.4118213132751847 -1.4118213132751847 0.0 0.0 0.0 315.39835472058246 NaN 4.629944805758852 1.1884520715334984E-4 1.4118213132751847 1.9999870930432322 5.045050217885256E-6 10.175776454354923 315.39835472058246
10.183135983454276 0.9631414149762777 0.07357020428290409 0.0033365429369804846  -1.4449579800012047 -1.4449579800012047 -1.4449579800012047 0.0 0.0 0.0 315.8547338976225 NaN 4.636358311518294 1.188434708894228E-4 1.4449579800012047 1.9999855336192958 5.034352788577009E-6 10.183135983454276 315.8547338976225
10.190495512554092 0.9624458386657809 0.07512634900505358 0.0035124915793870535  -1.4780970077125557 -1.4780970077125557 -1.4780970077125557 0.0 0.0 0.0 316.31144267126507 NaN 4.642763243354404 1.1884173462549564E-4 1.4780970077125557 1.9999840186067357 5.023699666759126E-6 10.190495512554092 316.31144267126507
10.19785504165437 0.9617512663142257 0.076682442562903 0.0036884778062117444  -1.5112383981241988 -1.5112383981241988 -1.5112383981241988 0.0 0.0 0.0 316.7684810506377 NaN 4.649159620752306 1.1883999836156838E-4 1.5112383981241988 1.9999825479112465 5.013090577281819E-6 10.19785504165437 316.7684810506377
10.205214570755107 0.9610576957495857 0.07823848286348734 0.0038645016168240994  -1.5443821529511856 -1.5443821529511856 -1.5443821529511856 0.0 0.0 0.0 317.22584904488247 NaN 4.655547463139823 1.18838262097641E-4 1.5443821529511856 1.9999811214387957 5.002525247268952E-6 10.205214570755107 317.22584904488247
10.212574099856306 0.9603651248060955 0.07979446782606915 0.004040563010595436  -1.5775282739086816 -1.5775282739086816 -1.5775282739086816 0.0 0.0 0.0 317.6835466631563 NaN 4.66192678988769 1.1883652583371353E-4 1.5775282739086816 1.9999797390956204 4.992003406094591E-6 10.212574099856306 317.6835466631563
10.21993362895796 0.9596735513242289 0.08135039538206125 0.004216661986898547  -1.610676762711911 -1.610676762711911 -1.610676762711911 0.0 0.0 0.0 318.1415739146303 NaN 4.668297620309753 1.1883478956978594E-4 1.610676762711911 1.99997840078823 4.9815247853598815E-6 10.21993362895796 318.1415739146303
10.227293158060075 0.9589829731506744 0.0829062634749569 0.004392798545108179  -1.6438276210762512 -1.6438276210762512 -1.6438276210762512 0.0 0.0 0.0 318.599930808491 NaN 4.674659973663198 1.1883305330585824E-4 1.6438276210762512 1.9999771064234018 4.971089118870149E-6 10.227293158060075 318.599930808491
10.234652687162642 0.9582933881383152 0.08446207006025086 0.004568972684600464  -1.6769808507171244 -1.6769808507171244 -1.6769808507171244 0.0 0.0 0.0 319.0586173539387 NaN 4.681013869148733 1.1883131704193043E-4 1.6769808507171244 1.9999758559081815 4.96069614261236E-6 10.234652687162642 319.0586173539387
10.242012216265667 0.9576047941462049 0.08601781310537146 0.004745184404753492  -1.7101364533501044 -1.7101364533501044 -1.7101364533501044 0.0 0.0 0.0 319.517633560189 NaN 4.687359325910821 1.1882958077800251E-4 1.7101364533501044 1.9999746491498822 4.9503455947327825E-6 10.242012216265667 319.517633560189
10.249371745369146 0.9569171890395471 0.08757349058960308 0.004921433704946781  -1.743294430690818 -1.743294430690818 -1.743294430690818 0.0 0.0 0.0 319.97697943647154 NaN 4.69369636303786 1.188278445140745E-4 1.743294430690818 1.9999734860560832 4.940037215514985E-6 10.249371745369146 319.97697943647154
10.256731274473081 0.9562305706896719 0.08912910050401812 0.005097720584561711  -1.7764547844550294 -1.7764547844550294 -1.7764547844550294 0.0 0.0 0.0 320.436654992031 NaN 4.700024999562415 1.1882610825014637E-4 1.7764547844550294 1.9999723665346294 4.9297707473580456E-6 10.256731274473081 320.436654992031
10.264090803577465 0.9555449369740154 0.09068464085140135 0.005274045042981085  -1.8096175163585542 -1.8096175163585542 -1.8096175163585542 0.0 0.0 0.0 320.89666023612597 NaN 4.706345254461397 1.1882437198621813E-4 1.8096175163585542 1.9999712904936304 4.919545934755087E-6 10.264090803577465 320.89666023612597
10.271450332682305 0.9548602857760958 0.09224010964618362 0.0054504070795896534  -1.8427826281173616 -1.8427826281173616 -1.8427826281173616 0.0 0.0 0.0 321.35699517803033 NaN 4.712657146656287 1.188226357222898E-4 1.8427826281173616 1.9999702578414578 4.909362524272009E-6 10.271450332682305 321.35699517803033
