# MgO, SESAME 7460
# Ariadne hugoniot_rhottab, bilinear interpolation
#rho v/v0 up us e p T s csqv cv gamma alphavol uc phi st
#g/cc - km/s km/s MJ/kg GPa K MJ/kg.K (km/s)^2 MJ/kg.K - 1/K km/s deg g/cc K
5.898202780799434 0.6078170136283599 5.344020028955468 13.626343351599076 14.27643231984633 261.0598837831748 5802.43018 NaN 186.44972947394942 0.0013047893454519296 0.9899205961552916 1.1745169936697086E-6 34.633550457063016 38.54406857572911 5.898202780799434 5802.43018
5.98528004 0.5989741459114752 5.5824730872338995 13.920481760264744 15.57923454471888 278.5951985779034 6390.085205490022 NaN 196.96230528671126 0.0013050766375721226 0.9845086523398682 1.0899032783344291E-6 34.296646166913966 39.04060795847089 5.98528004 6390.085205490022
6.12864017 0.5849630424623217 5.989557905717417 14.431384475378119 17.93463404338604 309.88137293123356 7471.015427622328 NaN 221.94987042328134 0.0013053175715712802 0.9759509813527314 9.365374967343205E-7 33.30132099929449 40.38463583291602 6.12864017 7471.015427622328
6.26984412008294 0.5717890160166496 6.4087449666714225 14.966325494631882 20.529655797956067 343.859372805137 8703.63965 NaN 235.6267307060782 0.0013582150950787676 0.9309228357256341 8.558564648435209E-7 33.8216005197995 40.41347497413404 6.26984412008294 8703.63965
6.45120001 0.555714904892555 6.941285509676796 15.623493981939976 24.087955252593783 388.7861162912812 10391.571595112064 NaN 252.87129181567536 0.0013577885407232008 0.9230241400580973 7.682545914252992E-7 34.41182010319429 40.45508648792259 6.45120001 10391.571595112064
6.561720403183049 0.5463548855664325 7.294407144635459 16.079545249249374 26.589948221347257 420.49073215265287 11604.9004 NaN 253.18443966847667 0.0014396184610858589 0.8760014096304558 7.590973584364964E-7 35.90111290144907 39.524947472621726 6.561720403183049 11604.9004
7.032816941346944 0.5097570475527529 8.784487743959353 17.918641563551315 38.55820275027219 564.305340157572 17407.3008 NaN 257.482336708892 0.0015458732281700685 0.821840420447507 7.015919838696276E-7 41.59763534158696 36.36274170773117 7.032816941346944 17407.3008
7.09632015 0.5051953581885676 8.984622387375666 18.157918556470737 40.35895426343004 584.868897170684 18257.641330912757 NaN 257.8414237159714 0.001544619497344409 0.820745188052338 6.928575706506414E-7 42.35380048469225 35.97258123461163 7.09632015 18257.641330912757
7.16800022 0.5001433998281881 9.223398207953183 18.452088468538566 42.532771948040626 610.1394660834098 19280.073226079163 NaN 407.3669769312301 0.0015432579569165745 0.8194078882109506 4.3306674443436246E-7 33.99696706438182 44.20958940286776 7.16800022 19280.073226079163
7.397314102216129 0.4846391474611005 10.099577384389626 19.597098488630948 50.88157211804648 709.5575015035632 23209.6992 NaN 413.20847760225126 0.0016980599210719286 0.762709006787534 4.237098921799104E-7 36.78303596568643 42.52370814379633 7.397314102216129 23209.6992
7.733210298788786 0.46358858242371925 11.346773324980875 21.153116718227384 63.9712761641178 860.4771702713972 29012.0996 NaN 423.13090179789964 0.0017487588280422598 0.758240437449673 4.052306606236643E-7 40.42462662409596 40.524654143069995 7.733210298788786 29012.0996
8.025464790311704 0.44670658879817476 12.451876384457519 22.505014757740245 76.8700815246738 1004.6312941240885 34814.6016 NaN 432.6386399443156 0.001892908891751691 0.7316956410951085 3.9890059190052025E-7 43.55736693175233 38.97684477618241 8.025464790311704 34814.6016
