# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
7.540922254903477 0.9660869608677223 0.09812788541450744 0.0035944469049812673  -2.0739478343323534 -2.0739478343323534 -2.0739478343323534 0.0 0.0 0.0 318.3559792982229 4.3211800076605627E-4 8.988291816258705 2.1191920656777626E-4 2.0739478343323534 2.384916260516078 7.456616828754358E-6 7.540922254903477 318.3559792982229
7.547479577777909 0.9652476152210192 0.10073500560132106 0.0038271163499694607  -2.1311040449218615 -2.1311040449218615 -2.1311040449218615 0.0 0.0 0.0 319.0164480532009 4.3210190368864795E-4 9.005618699063076 2.119056602580569E-4 2.1311040449218615 2.383849168081769 7.43200219176196E-6 7.547479577777909 319.0164480532009
7.554036900653059 0.9644097267713446 0.1033539036709554 0.004072499411182928  -2.188671042800722 -2.188671042800722 -2.188671042800722 0.0 0.0 0.0 319.6768121877933 4.321057820768631E-4 9.183243601557656 2.1247165215439192E-4 2.188671042800722 2.380600807254818 7.291424187713812E-6 7.554036900653059 319.6768121877933
7.5605942235289225 0.9635732917272072 0.10598456168287834 0.004337943516239452  -2.246891624982587 -2.246891624982587 -2.246891624982587 0.0 0.0 0.0 320.3376675095964 4.3211450863377674E-4 9.200792227161749 2.12459228527363E-4 2.246891624982587 2.379518672383632 7.267475286134299E-6 7.5605942235289225 320.3376675095964
7.567151546405498 0.9627383063102571 0.10861544364070325 0.004603475429096512  -2.3051158738539006 -2.3051158738539006 -2.3051158738539006 0.0 0.0 0.0 320.9990134399878 4.321216749595448E-4 9.218295884406661 2.124468049003327E-4 2.3051158738539006 2.37843852778143 7.24367671915492E-6 7.567151546405498 320.9990134399878
7.573708869282785 0.9619047667552296 0.11124654037653667 0.004869095019960615  -2.363343789401094 -2.363343789401094 -2.363343789401094 0.0 0.0 0.0 321.66084945406146 4.3212728823463964E-4 9.235754732969891 2.1243438127330105E-4 2.363343789401094 2.377360368298812 7.2200270811351346E-6 7.573708869282785 321.66084945406146
7.580266192160778 0.9610726693098897 0.11387784279387782 0.005134802159253546  -2.421575371611093 -2.421575371611093 -2.421575371611093 0.0 0.0 0.0 322.32317502780273 4.3213135559831527E-4 9.253168931829624 2.1242195764626808E-4 2.421575371611093 2.3762841888041977 7.1965249838938715E-6 7.580266192160778 322.32317502780273
7.58682351503948 0.9602420102349727 0.116520753109113 0.00540344055890171  -2.479903599780153 -2.479903599780153 -2.479903599780153 0.0 0.0 0.0 322.9859896380887 4.321341661418537E-4 9.431963125163296 2.1240952192883987E-4 2.479903599780153 2.3752083286457535 7.050397662264434E-6 7.58682351503948 322.9859896380887
7.593380837918885 0.959412785804132 0.1191752546709486 0.005701691312574435  -2.5392008048825265 -2.5392008048825265 -2.5392008048825265 0.0 0.0 0.0 323.64928967043 4.321383703297819E-4 9.449609712784504 2.123969606844348E-4 2.5392008048825265 2.374117267033926 7.027509006378913E-6 7.593380837918885 323.64928967043
7.599938160798993 0.9585849923038807 0.12182993930824255 0.006000027924068739  -2.5985016127864666 -2.5985016127864666 -2.5985016127864666 0.0 0.0 0.0 324.3130724197346 4.3214104575097737E-4 9.467210958941228 2.123843994400284E-4 2.5985016127864666 2.373028201651896 7.004762244924571E-6 7.599938160798993 324.3130724197346
7.606495483679803 0.9577586260335369 0.12448479806263973 0.006298450261598521  -2.6578060233569936 -2.6578060233569936 -2.6578060233569936 0.0 0.0 0.0 324.97733735111285 4.3214219941903895E-4 9.484767024341535 2.1237183819562065E-4 2.6578060233569936 2.371941127357118 6.982156067817146E-6 7.606495483679803 324.97733735111285
7.613052806561311 0.9569336833051693 0.12713982204538202 0.006596958193599065  -2.717114036459776 -2.717114036459776 -2.717114036459776 0.0 0.0 0.0 325.64208393059135 4.321418383074257E-4 9.50227806899162 2.1235927695121155E-4 2.717114036459776 2.370856039024768 6.959689181041114E-6 7.613052806561311 325.64208393059135
7.619610129443516 0.9561101604435411 0.1297950024367193 0.0068955515887270825  -2.7764256519611976 -2.7764256519611976 -2.7764256519611976 0.0 0.0 0.0 326.30731162511285 4.32139969349732E-4 9.519744252199514 2.123467157068011E-4 2.7764256519611976 2.3697729315476703 6.937360306404058E-6 7.619610129443516 326.30731162511285
7.626167452326418 0.9552880537860564 0.13246169457911133 0.00721989944239131  -2.8365897304040337 -2.8365897304040337 -2.8365897304040337 0.0 0.0 0.0 326.9730190587272 4.3213908399561364E-4 9.70105530918207 2.123340374180019E-4 2.8365897304040337 2.368683636741041 6.798316190773155E-6 7.626167452326418 326.9730190587272
7.632724775210013 0.9544673596827054 0.13513988251802142 0.007551108518822934  -2.8969814806921694 -2.8969814806921694 -2.8969814806921694 0.0 0.0 0.0 327.63920363832324 4.3213735822404583E-4 9.718758771020882 2.1232132822894315E-4 2.8969814806921694 2.367594173498136 6.776578594115413E-6 7.632724775210013 327.63920363832324
7.6392820980943 0.9536480744960104 0.1378182057506566 0.007882401849789552  -2.957376795939702 -2.957376795939702 -2.957376795939702 0.0 0.0 0.0 328.30586482526087 4.321341427309251E-4 9.73641680939626 2.123086190398831E-4 2.957376795939702 2.366506693678237 6.754973623645939E-6 7.6392820980943 328.30586482526087
7.645839420979279 0.9528301946009723 0.14049665560344834 0.008213779303095994  -3.0177756759470293 -3.0177756759470293 -3.0177756759470293 0.0 0.0 0.0 328.97300208244417 4.321294443140114E-4 9.754029584727801 2.122959098508217E-4 3.0177756759470293 2.365421192198494 6.733500074347322E-6 7.645839420979279 328.97300208244417
7.652396743864944 0.9520137163850174 0.1431752234699768 0.008545240746771127  -3.0781781205152847 -3.0781781205152847 -3.0781781205152847 0.0 0.0 0.0 329.64061487370435 4.321232697323624E-4 9.771597256737499 2.1228320066175898E-4 3.0781781205152847 2.3643376639934846 6.712156755747212E-6 7.652396743864944 329.64061487370435
7.6589540667512965 0.9511986362479432 0.14586513513515925 0.008892939693049653  -3.1391208542160927 -3.1391208542160927 -3.1391208542160927 0.0 0.0 0.0 330.30870266379924 4.3212341086139815E-4 9.953956162305715 2.1257528528370202E-4 3.1391208542160927 2.361812242302743 6.5855636456670124E-6 7.6589540667512965 330.30870266379924
7.665511389638336 0.950384950601866 0.14856637494824562 0.009257175703205231  -3.200614656730888 -3.200614656730888 -3.200614656730888 0.0 0.0 0.0 330.9768561590291 4.321312275402873E-4 9.971758454647137 2.1256295666094636E-4 3.200614656730888 2.3607341503861665 6.564804261513552E-6 7.665511389638336 330.9768561590291
7.672068712526056 0.9495726558711696 0.15126771218623786 0.009621495786740666  -3.262112033208138 -3.262112033208138 -3.262112033208138 0.0 0.0 0.0 331.6454827094671 4.3213754289816845E-4 9.989515285801643 2.1255062803818942E-4 3.262112033208138 2.3596580105782774 6.544169771139767E-6 7.672068712526056 331.6454827094671
7.678626035414461 0.9487617484924498 0.15396913841066628 0.009985899812967254  -3.323612983460314 -3.323612983460314 -3.323612983460314 0.0 0.0 0.0 332.3145817825386 4.3214236374289095E-4 10.00722681555881 2.1253829941543121E-4 3.323612983460314 2.3585838178969323 6.5236590555906E-6 7.678626035414461 332.3145817825386
7.685183358303543 0.9479522249144661 0.15667064524814775 0.010350387651417022  -3.385117507300511 -3.385117507300511 -3.385117507300511 0.0 0.0 0.0 332.984152846586 4.321456968437768E-4 10.024893203016438 2.125259707926717E-4 3.385117507300511 2.357511567377 6.50327100922949E-6 7.685183358303543 332.984152846586
