# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
7.502239950478515 0.9720035031831563 0.07684534854729357 0.003880235694135867  -1.5516126164960755 -1.5516126164960755 -1.5516126164960755 0.0 0.0 0.0 310.1286247179264 5.100827855702687E-4 7.516734602481942 2.2564718944185596E-4 1.5516126164960755 1.9855725368171977 7.945029585139046E-6 7.502239950478515 310.1286247179264
7.508803589143823 0.971153849879462 0.07924384889389106 0.004032915802916711  -1.6000603266590625 -1.6000603266590625 -1.6000603266590625 0.0 0.0 0.0 310.6672147154758 5.10207742792807E-4 7.527914931195587 2.252258052063691E-4 1.6000603266590625 1.9827372135432595 7.900195869809295E-6 7.508803589143823 310.6672147154758
7.51536722780986 0.9703056806860588 0.08164202906183832 0.00418507291931059  -1.6484982440550155 -1.6484982440550155 -1.6484982440550155 0.0 0.0 0.0 311.20549739824287 5.103292068385703E-4 7.539035992889571 2.2480442097083542E-4 1.6484982440550155 1.9799027238004407 7.855659981523254E-6 7.51536722780986 311.20549739824287
7.521930866476626 0.9694589917178422 0.08403987889385461 0.004336706884719948  -1.696926368049617 -1.696926368049617 -1.696926368049617 0.0 0.0 0.0 311.7434703280296 5.104471962562787E-4 7.550097968016738 2.2438303673525498E-4 1.696926368049617 1.9770690422209305 7.811418980438968E-6 7.521930866476626 311.7434703280296
7.528494505144116 0.9686137791032567 0.08643738831136819 0.004487817544366981  -1.7453446980835783 -1.7453446980835783 -1.7453446980835783 0.0 0.0 0.0 312.28113106534346 5.105617294736742E-4 7.561101035754396 2.23961652499628E-4 1.7453446980835783 1.9742361433510416 7.767469965104315E-6 7.528494505144116 312.28113106534346
7.535058143812329 0.9677700389842363 0.08883454731374725 0.004638404747286215  -1.7937532336725734 -1.7937532336725734 -1.7937532336725734 0.0 0.0 0.0 312.8184771693519 5.106728247984513E-4 7.57204537400704 2.2354026826395463E-4 1.7937532336725734 1.9714040016499412 7.72381007183156E-6 7.535058143812329 312.8184771693519
7.5416217824812675 0.9669277675161454 0.091231345977538 0.004788468346316914  -1.842151974407149 -1.842151974407149 -1.842151974407149 0.0 0.0 0.0 313.35550619783584 5.107805004191768E-4 7.582931159409021 2.2311888402823474E-4 1.842151974407149 1.9685725914883692 7.680436474084055E-6 7.5416217824812675 313.35550619783584
7.548185421150924 0.9660869608677224 0.09362777445570541 0.004938008198095359  -1.8905409199525445 -1.8905409199525445 -1.8905409199525445 0.0 0.0 0.0 313.8922157071418 5.108847744062041E-4 7.593758567327112 2.2269749979246875E-4 1.8905409199525445 1.9657418871473518 7.637346381874961E-6 7.548185421150924 313.8922157071418
7.554749059821298 0.9652476152210192 0.0960238229768909 0.0050870241630475935  -1.9389200700486897 -1.9389200700486897 -1.9389200700486897 0.0 0.0 0.0 314.42860325213576 5.109856647125777E-4 7.604527771863069 2.222761155566566E-4 1.9389200700486897 1.9629118628168933 7.59453704117741E-6 7.554749059821298 314.42860325213576
7.561312698492391 0.9644097267713446 0.09841948184467117 0.0052355161053819895  -1.987289424510085 -1.987289424510085 -1.987289424510085 0.0 0.0 0.0 314.96466638615533 5.110831891749302E-4 7.61523894585609 2.218547313207984E-4 1.987289424510085 1.9600824925946558 7.552005733346141E-6 7.561312698492391 314.96466638615533
7.567876337164198 0.9635732917272071 0.10081474143682337 0.005383483893081609  -2.0356489832256517 -2.0356489832256517 -2.0356489832256517 0.0 0.0 0.0 315.5004026609611 5.111773655143722E-4 7.625892260885211 2.214333470848943E-4 2.0356489832256517 1.9572537504846406 7.50974977455029E-6 7.567876337164198 315.5004026609611
7.574439975836717 0.962738306310257 0.10320959220460295 0.00553092739789702  -2.083998746158697 -2.083998746158697 -2.083998746158697 0.0 0.0 0.0 316.0358096266887 5.112682113373727E-4 7.636487887271658 2.2101196284894447E-4 2.083998746158697 1.9544256103958346 7.46776651521691E-6 7.574439975836717 316.0358096266887
7.581003614509949 0.9619047667552296 0.10560402467202558 0.005677846495338981  -2.1323387133468166 -2.1323387133468166 -2.1323387133468166 0.0 0.0 0.0 316.5708848318005 5.113557441366328E-4 7.647025994081119 2.2059057861294895E-4 2.1323387133468166 1.9515980461408606 7.426053339485211E-6 7.581003614509949 316.5708848318005
7.587567253183886 0.9610726693098897 0.10799802943515348 0.005824241064670913  -2.1806688849017397 -2.1806688849017397 -2.1806688849017397 0.0 0.0 0.0 317.1056258230352 5.11439981291952E-4 7.657506749125956 2.2016919437690808E-4 2.1806688849017397 1.9487710314346116 7.3846076646711765E-6 7.587567253183886 317.1056258230352
7.594130891858534 0.9602420102349727 0.11039159716139793 0.005970110988902067  -2.228989261009367 -2.228989261009367 -2.228989261009367 0.0 0.0 0.0 317.64003014536 5.115209400710861E-4 7.667930318967363 2.1974781014082157E-4 2.228989261009367 1.9459445398928592 7.343426940742231E-6 7.594130891858534 317.64003014536
7.600694530533886 0.959412785804132 0.11278471858881438 0.006115456154779809  -2.2772998419295156 -2.2772998419295156 -2.2772998419295156 0.0 0.0 0.0 318.1740953419189 5.115986376305976E-4 7.678296868917435 2.1932642590468993E-4 2.2772998419295156 1.9431185450308697 7.3025086498020245E-6 7.600694530533886 318.1740953419189
7.607258169209941 0.9585849923038807 0.11517738452541926 0.006260276452782832  -2.325600627995967 -2.325600627995967 -2.325600627995967 0.0 0.0 0.0 318.7078189539838 5.116730910166994E-4 7.6886065630412 2.1890504166851313E-4 2.325600627995967 1.9402930202619864 7.261850305584737E-6 7.607258169209941 318.7078189539838
7.613821807886699 0.957758626033537 0.1175695858485038 0.006404571777113857  -2.3738916196163213 -2.3738916196163213 -2.3738916196163213 0.0 0.0 0.0 319.241198520903 5.117443171660903E-4 7.698859564158562 2.1848365743229123E-4 2.3738916196163213 1.9374679388962088 7.221449452958986E-6 7.613821807886699 319.241198520903
7.620385446564155 0.9569336833051694 0.11996131350395672 0.006548342025692489  -2.422172817271901 -2.422172817271901 -2.422172817271901 0.0 0.0 0.0 319.7742315800502 5.118123329067837E-4 7.709056033846201 2.180622731960244E-4 2.422172817271901 1.9346432741387576 7.181303667441021E-6 7.620385446564155 319.7742315800502
7.62694908524231 0.9561101604435412 0.12235255850559604 0.006691587100148286  -2.4704442215177 -2.4704442215177 -2.4704442215177 0.0 0.0 0.0 320.306915666773 5.118771549589283E-4 7.719196132439382 2.1764088895971282E-4 2.4704442215177 1.9318189990886163 7.14141055471695E-6 7.62694908524231 320.306915666773
7.633512723921162 0.9552880537860565 0.12474331193450436 0.006834306905813686  -2.5187058329822847 -2.5187058329822847 -2.5187058329822847 0.0 0.0 0.0 320.8392483143413 5.119387999356234E-4 7.729280019033724 2.1721950472335645E-4 2.5187058329822847 1.9289950867370715 7.101767750173913E-6 7.633512723921162 320.8392483143413
7.640076362600708 0.9544673596827054 0.12713356493837086 0.0069765013517169815  -2.5669576523676954 -2.5669576523676954 -2.5669576523676954 0.0 0.0 0.0 321.37122705389424 5.119972843437234E-4 7.73930785148689 2.167981204869555E-4 2.5669576523676954 1.9261715099662273 7.062372918439927E-6 7.640076362600708 321.37122705389424
7.6466400012809475 0.9536480744960103 0.1295233087308411 0.007118170350575456  -2.6151996804493867 -2.6151996804493867 -2.6151996804493867 0.0 0.0 0.0 321.9028494143879 5.120526245846412E-4 7.749279786420192 2.1637673625051005E-4 2.6151996804493867 1.9233482415475098 7.023223752932247E-6 7.6466400012809475 321.9028494143879
7.653203639961878 0.9528301946009723 0.13191253459087177 0.007259313818788481  -2.663431918076142 -2.663431918076142 -2.663431918076142 0.0 0.0 0.0 322.43411292254206 5.121048369551381E-4 7.759195979220181 2.1595535201402024E-4 2.663431918076142 1.920525254140155 6.984317975414027E-6 7.653203639961878 322.43411292254206
7.659767278643495 0.9520137163850174 0.13440503989808647 0.007646646966651913  -2.7190617361088996 -2.7190617361088996 -2.7190617361088996 0.0 0.0 0.0 322.965212070301 5.121981917713479E-4 9.177762734224537 2.1586781439584922E-4 2.7190617361088996 1.91959287200298 5.894468104729291E-6 7.659767278643495 322.965212070301
7.6663309173258005 0.9511986362479432 0.13700085921032404 0.008094703287833597  -2.776516325423003 -2.776516325423003 -2.776516325423003 0.0 0.0 0.0 323.49660055397914 5.123010154703457E-4 9.19154795789149 2.158624416761385E-4 2.776516325423003 1.919126532751386 5.879013748042608E-6 7.6663309173258005 323.49660055397914
7.672894556008794 0.9503849506018661 0.1395964006007038 0.008542816332351055  -2.833973820229584 -2.833973820229584 -2.833973820229584 0.0 0.0 0.0 324.028278272121 5.124025904043825E-4 9.205303997114576 2.158570689564272E-4 2.833973820229584 1.9186610498913632 5.863638254808711E-6 7.672894556008794 324.028278272121
7.679458194692469 0.9495726558711697 0.14219165898708516 0.008990986050928431  -2.891434221493159 -2.891434221493159 -2.891434221493159 0.0 0.0 0.0 324.56024501804035 5.125029213255285E-4 9.219030944987962 2.1585169623671534E-4 2.891434221493159 1.918196421231405 5.848341024237575E-6 7.679458194692469 324.56024501804035
7.686021833376828 0.94876174849245 0.14478662932584255 0.009439212394382574  -2.9488975301780807 -2.9488975301780807 -2.9488975301780807 0.0 0.0 0.0 325.0925005854574 5.12602012962883E-4 9.232728894226724 2.158463235170029E-4 2.9488975301780807 1.9177326445874903 5.8331214616225725E-6 7.686021833376828 325.0925005854574
7.692585472061866 0.9479522249144662 0.14738130661156174 0.009887495313621356  -3.0063637472483618 -3.0063637472483618 -3.0063637472483618 0.0 0.0 0.0 325.62504476849585 5.126998700227082E-4 9.246397937168695 2.1584095079728996E-4 3.0063637472483618 1.917269717783053 5.817978978263736E-6 7.692585472061866 325.62504476849585
7.699149110747582 0.9471440815980868 0.14997568587675283 0.01033583475964457  -3.0638328736678075 -3.0638328736678075 -3.0638328736678075 0.0 0.0 0.0 326.1578773616835 5.127964971885643E-4 9.260038165776354 2.1583557807757642E-4 3.0638328736678075 1.9168076386489499 5.802912991392085E-6 7.699149110747582 326.1578773616835
7.705712749433978 0.9463373150162382 0.15256976219155927 0.010784230683543457  -3.1213049104000024 -3.1213049104000024 -3.1213049104000024 0.0 0.0 0.0 326.6909981599506 5.128918991214398E-4 9.273649671638688 2.1583020535786233E-4 3.1213049104000024 1.916346405023428 5.7879229240951386E-6 7.705712749433978 326.6909981599506
7.712276388121047 0.9455319216538549 0.1551635306634648 0.011232683036499653  -3.1787798584081894 -3.1787798584081894 -3.1787798584081894 0.0 0.0 0.0 327.22440695862804 5.129860804598837E-4 9.287232545973003 2.1582483263814768E-4 3.1787798584081894 1.9158860147520942 5.773008205243569E-6 7.712276388121047 327.22440695862804
7.71884002680879 0.9447278980078267 0.15775698643701516 0.011681191769786076  -3.2362577186554233 -3.2362577186554233 -3.2362577186554233 0.0 0.0 0.0 327.75810355344765 5.130790458201359E-4 9.3007868796268 2.158194599184325E-4 3.2362577186554233 1.915426465687884 5.758168269418897E-6 7.71884002680879 327.75810355344765
7.725403665497205 0.9439252405869488 0.16035012469353213 0.012129756834766142  -3.2937384921044965 -3.2937384921044965 -3.2937384921044965 0.0 0.0 0.0 328.2920877405405 5.131707997962574E-4 9.314312763079577 2.1581408719871677E-4 3.2937384921044965 1.91496775569103 5.74340255684231E-6 7.725403665497205 328.2920877405405
