# cl: 2.72 km/s
# cs: 1.36 km/s

#shot method rho0 rhoflyer us up - - - ⍴ p e
#- - g/cc g/cc km/s km/s - - - g/cc GPa MJ/kg


# polymethyl methacrylate / acrylic / plexiglass
8c2706  310  1.187e+00 8.916e+00  7.677 3.587  7.121 1.003 1.005 2.228 32.687 6.433
8c2725  3,1  1.185e+00 2.783e+00  8.898 4.534  9.756 1.007 1.012 2.416 47.807 10.279
8c3125  3,1  1.187e+00 2.786e+00  4.453 1.210  6.399 1.002 1.012 1.63 6.396 0.732
8c3126  3,1  1.186e+00 2.786e+00  3.908  .917  6.121 1.006 1.013 1.55 4.25 0.42
8c3127  3,1  1.186e+00 2.786e+00  3.836  .841  6.053 1.002 1.013 1.519 3.826 0.354
8c3128  3,1  1.186e+00 2.786e+00  3.709  .706  5.933 1.000 1.014 1.465 3.106 0.249
8c3129  3,1  1.186e+00 2.783e+00  3.612  .700  5.925 1.002 1.008 1.471 2.999 0.245
8c3131  3,1  1.187e+00 2.783e+00  4.014  .966  6.167 1.001 1.007 1.563 4.603 0.467
8c3132  3,1  1.187e+00 2.783e+00  5.143 1.672  6.845 1.001 1.001 1.759 10.207 1.398
8c3133  3,1  1.187e+00 2.783e+00  4.701 1.419  6.595 1.000 1.010 1.7 7.918 1.007
8c3134  3,1  1.187e+00 2.783e+00  4.573 1.346  6.524 1.002 1.004 1.682 7.306 0.906
8c3135  3,1  1.187e+00 2.783e+00  4.519 1.267  6.452 1.001 1.010 1.649 6.796 0.803
8c3137  3,1  1.190e+00 2.783e+00  3.604  .719  5.941 1.006 1.009 1.487 3.084 0.258
8c3138  3,1  1.190e+00 2.783e+00  3.389  .531  5.776 1.004 1.006 1.411 2.141 0.141
8c3141  3,1  1.191e+00 2.783e+00  3.345  .376  5.645 1.000 1.000 1.342 1.498 0.071
8a-693  0,1  1.180e+00 2.785e+00  5.814 2.166  7.327 1.000 1.000 1.881 14.86 2.346
8a-694  0,1  1.180e+00 2.785e+00  5.049 1.629  6.799 1.000 1.000 1.742 9.705 1.327
8a-740  0,1  1.180e+00 2.785e+00  5.041 1.621  6.791 1.000 1.000 1.739 9.642 1.314
8a-741  0,1  1.180e+00 2.785e+00  4.260 1.133  6.321 1.000 1.000 1.608 5.695 0.642
8a-696  0,1  1.180e+00 2.785e+00  4.239 1.150  6.334 1.000 1.000 1.619 5.752 0.661
