# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
1.0411954009860538 0.9297006105513578 NaN -18466.48878200563  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0021010280420555227 -4.786509280057622 0.0010879763287276415 0.0 0.0 -0.0 1.0411954009860538 298.0
1.0429381486599436 0.92814708258948 NaN -18466.495667719864  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020981528772572103 -4.754794325385421 0.001087951037820443 0.0 0.0 -0.0 1.0429381486599436 298.0
1.0446808963351852 0.9265987378498187 NaN -18466.502553434104  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020952777124466897 -4.723079370688621 0.001087925746913225 0.0 0.0 -0.0 1.0446808963351852 298.0
1.046423644011772 0.9250555504354699 NaN -18466.50943914835  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020924025476483773 -4.691364415967342 0.0010879004560059872 0.0 0.0 -0.0 1.046423644011772 298.0
1.0481663916896973 0.9235174946217604 NaN -18466.516324862598  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020895273828378568 -4.659649461221703 0.0010878751650987303 0.0 0.0 -0.0 1.0481663916896973 298.0
1.0499091393689541 0.9219845448548191 NaN -18466.523210576855  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020866522180273367 -4.627934506451834 0.001087849874191454 0.0 0.0 -0.0 1.0499091393689541 298.0
1.0516518870495362 0.9204566757501611 NaN -18466.530096291117  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002083777053204608 -4.596219551657847 0.0010878245832841584 0.0 0.0 -0.0 1.0516518870495362 298.0
1.0533946347314365 0.9189338620912875 NaN -18466.536982005382  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020809018883940875 -4.564504596839871 0.0010877992923768436 0.0 0.0 -0.0 1.0533946347314365 298.0
1.055137382414649 0.9174160788282963 NaN -18466.543867719654  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020780267235835674 -4.532789641998013 0.00108777400146951 0.0 0.0 -0.0 1.055137382414649 298.0
1.0568801300991673 0.9159033010765113 NaN -18466.55075343393  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020751515587608387 -4.5010746871323954 0.0010877487105621572 0.0 0.0 -0.0 1.0568801300991673 298.0
1.0586228777849844 0.91439550411512 NaN -18466.557639148214  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020722763939381105 -4.469359732243139 0.0010877234196547856 0.0 0.0 -0.0 1.0586228777849844 298.0
1.0603656254720943 0.9128926633858284 NaN -18466.564524862497  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002069401229115382 -4.437644777330356 0.0010876981287473953 0.0 0.0 -0.0 1.0603656254720943 298.0
1.0621083731604901 0.911394754491527 NaN -18466.571410576787  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020665260643048613 -4.405929822394174 0.0010876728378399864 0.0 0.0 -0.0 1.0621083731604901 298.0
1.0638511208501662 0.9099017531949699 NaN -18466.578296291085  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002063650899469925 -4.374214867434692 0.0010876475469325587 0.0 0.0 -0.0 1.0638511208501662 298.0
1.065593868541116 0.9084136354174692 NaN -18466.585182005387  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020607757346349886 -4.342499912452031 0.0010876222560251127 0.0 0.0 -0.0 1.065593868541116 298.0
1.0673366162333333 0.9069303772375995 NaN -18466.592067719695  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020579005698000523 -4.310784957446302 0.0010875969651176485 0.0 0.0 -0.0 1.0673366162333333 298.0
1.069079363926812 0.9054519548899161 NaN -18466.598953434008  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002055025404965116 -4.279070002417621 0.0010875716742101656 0.0 0.0 -0.0 1.069079363926812 298.0
1.0708221116215455 0.9039783447636862 NaN -18466.605839148328  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020521502401179715 -4.247355047366101 0.0010875463833026646 0.0 0.0 -0.0 1.0708221116215455 298.0
1.0725648593175285 0.9025095234016309 NaN -18466.612724862647  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002049275075283035 -4.215640092291843 0.0010875210923951457 0.0 0.0 -0.0 1.0725648593175285 298.0
1.0743076070147546 0.9010454674986821 NaN -18466.61961057697  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002046399910448099 -4.183925137194965 0.0010874958014876084 0.0 0.0 -0.0 1.0743076070147546 298.0
1.0760503547132174 0.899586153900749 NaN -18466.626496291305  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020435247456131625 -4.15221018207558 0.0010874705105800534 0.0 0.0 -0.0 1.0760503547132174 298.0
1.0777931024129108 0.8981315596034978 NaN -18466.63338200564  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002040649580766018 -4.1204952269338 0.0010874452196724803 0.0 0.0 -0.0 1.0777931024129108 298.0
1.0795358501138295 0.8966816617511416 NaN -18466.640267719984  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020377744159188736 -4.088780271769723 0.0010874199287648897 0.0 0.0 -0.0 1.0795358501138295 298.0
1.0812785978159671 0.8952364376352457 NaN -18466.64715343433  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002034899251071729 -4.057065316583462 0.0010873946378572813 0.0 0.0 -0.0 1.0812785978159671 298.0
1.083021345519318 0.8937958646935399 NaN -18466.654039148678  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020320240862245847 -4.025350361375121 0.0010873693469496553 0.0 0.0 -0.0 1.083021345519318 298.0
1.0847640932238762 0.8923599205087458 NaN -18466.660924863034  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.00202914892137744 -3.9936354061448114 0.0010873440560420118 0.0 0.0 -0.0 1.0847640932238762 298.0
1.086506840929636 0.8909285828074132 NaN -18466.66744290797  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020264134085505705 -3.961062120744784 0.0010873145969481225 0.0 0.0 -0.0 1.086506840929636 298.0
1.0882495886365915 0.8895018294587681 NaN -18466.67271398283  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020241515328156398 -3.925577763714951 0.0010872710012325244 0.0 0.0 -0.0 1.0882495886365915 298.0
1.089992336344737 0.8880796384735736 NaN -18466.677985057686  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020218896571051245 -3.8900934066608897 0.0010872274055168966 0.0 0.0 -0.0 1.089992336344737 298.0
1.091735084054067 0.8866619880029988 NaN -18466.683256132546  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020196277813946096 -3.8546090495827126 0.0010871838098012391 0.0 0.0 -0.0 1.091735084054067 298.0
1.0934778317645752 0.8852488563375005 NaN -18466.688527207414  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0020173659056718866 -3.8191246924805426 0.0010871402140855523 0.0 0.0 -0.0 1.0934778317645752 298.0
1.0952205794762568 0.8838402219057144 NaN -18466.693798282286  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002015104029949164 -3.783640335354483 0.0010870966183698359 0.0 0.0 -0.0 1.0952205794762568 298.0
1.096963327189106 0.8824360632733587 NaN -18466.69906935716  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002012842154214233 -3.7481559782046507 0.0010870530226540906 0.0 0.0 -0.0 1.096963327189106 298.0
1.098706074903117 0.8810363591421458 NaN -18466.704340432036  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002010580278503718 -3.7126716210311606 0.001087009426938316 0.0 0.0 -0.0 1.098706074903117 298.0
1.1004488226182845 0.8796410883487061 NaN -18466.709611506914  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002008318402780995 -3.6771872638341243 0.0010869658312225123 0.0 0.0 -0.0 1.1004488226182845 298.0
1.1021915703346026 0.8782502298635211 NaN -18466.7148825818  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002006056527046064 -3.64170290661366 0.0010869222355066803 0.0 0.0 -0.0 1.1021915703346026 298.0
1.1039343180520664 0.8768637627898663 NaN -18466.720153656686  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002003794651323341 -3.606218549369867 0.0010868786397908192 0.0 0.0 -0.0 1.1039343180520664 298.0
1.1056770657706703 0.8754816663627659 NaN -18466.72542473158  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002001532775576202 -3.570734192102862 0.0010868350440749299 0.0 0.0 -0.0 1.1056770657706703 298.0
1.107419813490409 0.8741039199479552 NaN -18466.730695806473  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.001999270899853479 -3.5352498348127503 0.001086791448359012 0.0 0.0 -0.0 1.107419813490409 298.0
1.109162561211277 0.8727305030408542 NaN -18466.73596688137  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019970090241185484 -3.4997654774996443 0.0010867478526430658 0.0 0.0 -0.0 1.109162561211277 298.0
1.1109053089332688 0.87136139526555 NaN -18466.741237956274  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019947471483714096 -3.464281120163657 0.0010867042569270918 0.0 0.0 -0.0 1.1109053089332688 298.0
