# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
22.57426370750857 0.9505609480330467 0.22249343574418515 0.07636595716757719  -22.231640676492294 -22.231640676492294 -22.231640676492294 0.0 0.0 0.0 335.4931266181049 2.1369815434518858E-4 21.80839986529372 1.2430054106659033E-4 22.231640676492294 2.6430481582228973 6.673300779640529E-7 22.57426370750857 335.4931266181049
22.591433710576062 0.9498385001086406 0.22604717601076138 0.07754027849085372  -22.574466844588198 -22.574466844588198 -22.574466844588198 0.0 0.0 0.0 336.1678858630237 2.1371954626029833E-4 21.8852578879551 1.2428393341808606E-4 22.574466844588198 2.642224066823984 6.641851661497498E-7 22.591433710576062 336.1678858630237
22.608603713644815 0.9491171495038775 0.22960445696588938 0.07871465596734475  -22.917300856191165 -22.917300856191165 -22.917300856191165 0.0 0.0 0.0 336.84327733739326 2.1374007559621337E-4 21.962108723286907 1.2426732576958056E-4 22.917300856191165 2.641401543543006 6.610641428400781E-7 22.608603713644815 336.84327733739326
22.625773716714818 0.948396893720592 0.2331652617310854 0.07988908954872644  -23.2601427147254 -23.2601427147254 -23.2601427147254 0.0 0.0 0.0 337.51930090581277 2.1375974593774113E-4 22.038952360434077 1.242507181210739E-4 23.2601427147254 2.6405805849367545 6.579667506230095E-7 22.625773716714818 337.51930090581277
22.64294371978607 0.9476777302681951 0.2367295735255727 0.08106357918673211  -23.602992423616907 -23.602992423616907 -23.602992423616907 0.0 0.0 0.0 338.1959564332643 2.1377856085125525E-4 22.11578878854495 1.24234110472566E-4 23.602992423616907 2.6397611875725366 6.548927357217654E-7 22.64294371978607 338.1959564332643
22.660113722858572 0.9469596566636469 0.24029737566546044 0.08223812483315147  -23.94584998629317 -23.94584998629317 -23.94584998629317 0.0 0.0 0.0 338.8732437851129 2.1379652388480819E-4 22.19261799677118 1.2421750282405687E-4 23.94584998629317 2.638943348028126 6.518418479310974E-7 22.660113722858572 338.8732437851129
22.67728372593231 0.9462426704314277 0.24386865156293425 0.08341272643983026  -24.28871540618315 -24.28871540618315 -24.28871540618315 0.0 0.0 0.0 339.55116282710617 2.1381363856824354E-4 22.269439974267723 1.2420089517554655E-4 24.28871540618315 2.6381270628917313 6.488138405549026E-7 22.67728372593231 339.55116282710617
22.694453729007293 0.945526769103509 0.2474433847254627 0.08458738395867206  -24.631588686717816 -24.631588686717816 -24.631588686717816 0.0 0.0 0.0 340.22971342537556 2.1382990841330548E-4 22.346254710192934 1.2418428752703503E-4 24.631588686717816 2.6373123287619524 6.458084703451353E-7 22.694453729007293 340.22971342537556
22.711623732083513 0.9448119502193257 0.2510215587549984 0.08576209734163551  -24.9744698313293 -24.9744698313293 -24.9744698313293 0.0 0.0 0.0 340.9088954464344 2.138453369137502E-4 22.423062193708393 1.2416767987852233E-4 24.9744698313293 2.6364991422477444 6.428254974419986E-7 22.711623732083513 340.9088954464344
22.72879373516097 0.9440982113257483 0.2546031573472034 0.0869368665407364  -25.317358843451558 -25.317358843451558 -25.317358843451558 0.0 0.0 0.0 341.58870875718003 2.1385992754545445E-4 22.499862413979024 1.241510722300084E-4 25.317358843451558 2.635687499968376 6.398646853153664E-7 22.72879373516097 341.58870875718003
