# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
1.0033095716820901 0.9602420102349731 0.10814674821011146 0.27550249995896126  -0.2892637917048361 -0.2892637917048361 -0.2892637917048361 0.0 0.0 0.0 307.8798373236508 NaN 7.876864981487509 0.0010667752262658418 0.2892637917048361 1.199820257728487 1.6195738467923295E-4 1.0033095716820901 307.8798373236508
1.0041767362861533 0.9594127858041325 0.11057405696824882 0.27594613222707004  -0.29687726375251855 -0.29687726375251855 -0.29687726375251855 0.0 0.0 0.0 308.1990096140869 NaN 7.910972805765347 0.0010667760197757112 0.29687726375251855 1.1988462540630134 1.6098917976704673E-4 1.0041767362861533 308.1990096140869
1.0050439008903096 0.9585849923038811 0.11300450407977213 0.27638954714914177  -0.30449051660658094 -0.30449051660658094 -0.30449051660658094 0.0 0.0 0.0 308.51797768881625 NaN 7.945078115278814 0.001066776813285581 0.30449051660658094 1.1978739310705069 1.6003002655414893E-4 1.0050439008903096 308.51797768881625
1.0059110654945587 0.9577586260335373 0.11543807251144814 0.2768327447808465  -0.3121035502932849 -0.3121035502932849 -0.3121035502932849 0.0 0.0 0.0 308.8367416004799 NaN 7.9791809121916035 0.0010667776067954506 0.3121035502932849 1.1969032844044007 1.590798056725785E-4 1.0059110654945587 308.8367416004799
1.0067782300989 0.9569336833051696 0.1178747453489196 0.27727572517855803  -0.31971636483975135 -0.31971636483975135 -0.31971636483975135 0.0 0.0 0.0 309.1553014023783 NaN 8.013281198667833 0.0010667784003053201 0.31971636483975135 1.1959343097331037 1.581383998143319E-4 1.0067782300989 309.1553014023783
1.0076453947033337 0.9561101604435415 0.12031450579549605 0.2777184883993493  -0.3273289602739594 -0.3273289602739594 -0.3273289602739594 0.0 0.0 0.0 309.4736571484673 NaN 8.047378976872045 0.00106677919381519 0.3273289602739594 1.1949670027399348 1.5720569368727404E-4 1.0076453947033337 309.4736571484673
1.0085125593078594 0.9552880537860566 0.12275733717096035 0.27816103450098806  -0.3349413366247407 -0.3349413366247407 -0.3349413366247407 0.0 0.0 0.0 309.7918088933536 NaN 8.081474248969183 0.00106677998732506 0.3349413366247407 1.1940013591230598 1.5628157397217575E-4 1.0085125593078594 309.7918088933536
1.0093797239124769 0.9544673596827055 0.12520322291039046 0.27860336354193194  -0.3425534939217687 -0.3425534939217687 -0.3425534939217687 0.0 0.0 0.0 310.1097566922908 NaN 8.11556701712455 0.00106678078083493 0.3425534939217687 1.1930373745954281 1.5536592928084566E-4 1.0093797239124769 310.1097566922908
1.0102468885171858 0.9536480744960105 0.1276521465630013 0.279045475581324  -0.35016543219555896 -0.35016543219555896 -0.35016543219555896 0.0 0.0 0.0 310.42750060117464 NaN 8.149657283503814 0.0010667815743448 0.35016543219555896 1.1920750448847084 1.5445865011532117E-4 1.0102468885171858 310.42750060117464
1.0111140531219862 0.9528301946009724 0.13010409179100113 0.27948737067898866  -0.35777715147746403 -0.35777715147746403 -0.35777715147746403 0.0 0.0 0.0 310.74504067653936 NaN 8.183745050272993 0.0010667823678546702 0.35777715147746403 1.1911143657332246 1.535596288280895E-4 1.0111140531219862 310.74504067653936
1.0119812177268774 0.9520137163850174 0.13255904236846128 0.27992904889542636  -0.3653886517996605 -0.3653886517996605 -0.3653886517996605 0.0 0.0 0.0 311.0623769755529 NaN 8.217830319598406 0.0010667831613645402 0.3653886517996605 1.1901553328978964 1.5266875958330967E-4 1.0119812177268774 311.0623769755529
1.0128483823318595 0.9511986362479432 0.1350169821802079 0.28037051029181  -0.3729999331951556 -0.3729999331951556 -0.3729999331951556 0.0 0.0 0.0 311.3795095560133 NaN 8.251913093646692 0.0010667839548744106 0.3729999331951556 1.1891979421501717 1.5178593831900188E-4 1.0128483823318595 311.3795095560133
1.0137155469369323 0.950384950601866 0.13747789522072343 0.2808117549299802  -0.38061099569777607 -0.38061099569777607 -0.38061099569777607 0.0 0.0 0.0 311.69643847634427 NaN 8.285993374584786 0.001066784748384281 0.38061099569777607 1.18824218927597 1.5091106271018163E-4 1.0137155469369323 311.69643847634427
1.0145827115420953 0.9495726558711695 0.13994176559306307 0.2812527828724402  -0.3882218393421569 -0.3882218393421569 -0.3882218393421569 0.0 0.0 0.0 312.01316379559063 NaN 8.320071164579863 0.0010667855418941515 0.3882218393421569 1.1872880700756165 1.5004403213290758E-4 1.0145827115420953 312.01316379559063
1.0154498761473487 0.9487617484924497 0.14240857750779248 0.28169359418235274  -0.39583246416375095 -0.39583246416375095 -0.39583246416375095 0.0 0.0 0.0 312.32968557341513 NaN 8.354146465799383 0.0010667863354040222 0.39583246416375095 1.1863355803637823 1.4918474762921696E-4 1.0154498761473487 312.32968557341513
1.0163170407526916 0.9479522249144661 0.14487831528193001 0.2821341889235344  -0.4034428701988051 -0.4034428701988051 -0.4034428701988051 0.0 0.0 0.0 312.64600387009335 NaN 8.388219280410992 0.0010667871289138928 0.4034428701988051 1.185384715969423 1.4833311187292635E-4 1.0163170407526916 312.64600387009335
1.0171842053581241 0.9471440815980866 0.1473509633379151 0.2825745671604524  -0.4110530574843752 -0.4110530574843752 -0.4110530574843752 0.0 0.0 0.0 312.9621187465104 NaN 8.422289610582604 0.0010667879224237637 0.4110530574843752 1.1844354727357178 1.4748902913626704E-4 1.0171842053581241 312.9621187465104
1.0180513699636464 0.9463373150162381 0.1498265062025806 0.2830147289582195  -0.41866302605831 -0.41866302605831 -0.41866302605831 0.0 0.0 0.0 313.2780302641566 NaN 8.45635745848232 0.0010667887159336344 0.41866302605831 1.1834878465200085 1.4665240525733826E-4 1.0180513699636464 313.2780302641566
1.0189185345692577 0.9455319216538549 0.1523049285061417 0.2834546743825899  -0.4262727759592411 -0.4262727759592411 -0.4262727759592411 0.0 0.0 0.0 313.59373848512314 NaN 8.4904228262784 0.0010667895094435052 0.4262727759592411 1.1825418331937396 1.4582314760835057E-4 1.0189185345692577 313.59373848512314
1.019785699174958 0.9447278980078267 0.15478621498120312 0.2838944034999551  -0.43388230722659077 -0.43388230722659077 -0.43388230722659077 0.0 0.0 0.0 313.9092434720986 NaN 8.524485716139287 0.0010667903029533761 0.43388230722659077 1.1815974286423985 1.4500116506463692E-4 1.019785699174958 313.9092434720986
1.0206528637807473 0.9439252405869487 0.1572703504617736 0.2843339163773396  -0.44149161990055835 -0.44149161990055835 -0.44149161990055835 0.0 0.0 0.0 314.2245452883646 NaN 8.558546130233577 0.0010667910964632472 0.44149161990055835 1.1806546287654553 1.441863679744126E-4 1.0206528637807473 314.2245452883646
