Ariadne V0.5
WXMaths V0.8
WXCloud V0.5
# Isentrope
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
3.6934634191207705 0.9703056806860593 0.21735076304517648 0.024849872701714897  -5.525386781369158 -5.525386781369158 -5.525386781369158 0.0 0.0 0.0 246.80758932392678 3.096105855550048E-4 52.96288956671472 5.954726845912217E-4 5.525386781369158 0.9909939733138959 3.0166670818995708E-6 3.6934634191207705 0.024849872701714897
3.696689150954914 0.9694589917178428 0.22370522539858842 0.02617473838708452  -5.690293066867724 -5.690293066867724 -5.690293066867724 0.0 0.0 0.0 246.2771845377615 3.077818282696373E-4 53.00589009780168 5.947402782376676E-4 5.690293066867724 0.9909587902199661 3.007778713058563E-6 3.696689150954914 0.02617473838708452
3.6999148827894137 0.9686137791032573 0.2300567193882565 0.027536201589026196  -5.855331591831345 -5.855331591831345 -5.855331591831345 0.0 0.0 0.0 245.80708294691684 3.0610517111108904E-4 53.04883548823263 5.940078718840327E-4 5.855331591831345 0.9909257123668211 2.998925726907579E-6 3.6999148827894137 0.027536201589026196
3.7031406146242687 0.9677700389842369 0.23640524585856565 0.028934163907615135  -6.02050232636162 -6.02050232636162 -6.02050232636162 0.0 0.0 0.0 245.39734202790697 3.0458020452694165E-4 53.09172609825368 5.93275465530317E-4 6.02050232636162 0.9908947418160062 2.990107925780509E-6 3.7031406146242687 0.028934163907615135
3.70636634645948 0.966927767516146 0.24275080567845783 0.03036852728346238  -6.185805242232245 -6.185805242232245 -6.185805242232245 0.0 0.0 0.0 245.04802011611974 3.0320652037923356E-4 53.134562287892294 5.925430591765206E-4 6.185805242232245 0.9908658806592494 2.981325113401937E-6 3.70636634645948 0.03036852728346238
3.7095920782950444 0.9660869608677228 0.24909339974127145 0.03183919399663023  -6.351240312892639 -6.351240312892639 -6.351240312892639 0.0 0.0 0.0 244.75917640930322 3.0198371193995103E-4 53.177344416964694 5.918106528226439E-4 6.351240312892639 0.9908391310185619 2.9725770948750742E-6 3.7095920782950444 0.03183919399663023
3.7128178101309612 0.9652476152210198 0.2554330289646022 0.033346066665557283  -6.516807513472157 -6.516807513472157 -6.516807513472157 0.0 0.0 0.0 244.5308709710855 3.0091137388653437E-4 53.22007284508345 5.910782464686871E-4 6.516807513472157 0.99081449504634 2.9638636766697795E-6 3.7128178101309612 0.033346066665557283
3.716043541967231 0.9644097267713452 0.26176969429015734 0.03488904824598592  -6.682506820784155 -6.682506820784155 -6.682506820784155 0.0 0.0 0.0 244.3631647345285 2.999891022974046E-4 53.26274793166495 5.903458401146504E-4 6.682506820784155 0.9907919749254649 2.9551846666107173E-6 3.716043541967231 0.03488904824598592
3.719269273803852 0.9635732917272077 0.2681033966836003 0.03646804202989339  -6.848338213329803 -6.848338213329803 -6.848338213329803 0.0 0.0 0.0 244.25611950571917 2.9921649464751673E-4 53.305370035936946 5.896134337605338E-4 6.848338213329803 0.990771572869409 2.9465398738656484E-6 3.719269273803852 0.03646804202989339
3.7224950056408233 0.9627383063102577 0.274434137134412 0.03808295164443158  -7.014301671302393 -7.014301671302393 -7.014301671302393 0.0 0.0 0.0 244.2097979673954 2.98593149803932E-4 53.347939516946155 5.888810274063376E-4 7.014301671302393 0.9907532911223381 2.9379291089338165E-6 3.7224950056408233 0.03808295164443158
3.7257207374781447 0.9619047667552303 0.2807619166557505 0.039733681050870114  -7.180397176591589 -7.180397176591589 -7.180397176591589 0.0 0.0 0.0 244.22426368260625 2.98118668021408E-4 53.39045673356578 5.88148621052062E-4 7.180397176591589 0.9907371319592173 2.9293521836344664E-6 3.7257207374781447 0.039733681050870114
