# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
9.894796529271712 0.9904195574925391 0.017693382452511647 -7.109156966883299E-4  -0.313751067926829 -0.313751067926829 -0.313751067926829 0.0 0.0 0.0 295.95072332819893 NaN 3.4714399785592387 1.2260085762884E-4 0.313751067926829 1.035895888451234 3.6973714959206647E-6 9.894796529271712 295.95072332819893
9.898065375108963 0.9900924704583614 0.018309309754691114 -7.001053421959955E-4  -0.3251512547402989 -0.3251512547402989 -0.3251512547402989 0.0 0.0 0.0 296.05198706577494 NaN 3.4829256824151913 1.226008507234625E-4 0.3251512547402989 1.035553841140567 3.6827449446180498E-6 9.898065375108963 296.05198706577494
9.901334220946234 0.9897655993944875 0.018926050440132847 -6.891861897323075E-4  -0.33655689234417774 -0.33655689234417774 -0.33655689234417774 0.0 0.0 0.0 296.15321856111274 NaN 3.494426758519432 1.2260084434986078E-4 0.33655689234417774 1.0352128175567057 3.6682036531130115E-6 9.901334220946234 296.15321856111274
9.904603066783526 0.9894389440870854 0.019543147412763317 -6.776695693418649E-4  -0.3479917845968525 -0.3479917845968525 -0.3479917845968525 0.0 0.0 0.0 296.2544181941188 NaN 3.495598737709408 1.2260084434986078E-4 0.3479917845968525 1.034877214003289 3.6645751853383525E-6 9.904603066783526 296.2544181941188
9.907871912620836 0.9891125043226058 0.0201606000805895 -6.659522813145512E-4  -0.3594366163815229 -0.3594366163815229 -0.3594366163815229 0.0 0.0 0.0 296.3555852126492 NaN 3.5071126005102093 1.2259895231888154E-4 0.3594366163815229 1.0345288367666232 3.65005380638383E-6 9.907871912620836 296.3555852126492
9.911140758458167 0.9887862798877799 0.02077840811428005 -6.537501433857962E-4  -0.37090523504279 -0.37090523504279 -0.37090523504279 0.0 0.0 0.0 296.4567200160603 NaN 3.5082845548173207 1.2259894497138908E-4 0.37090523504279 1.034187695310596 3.6464280076248884E-6 9.911140758458167 296.4567200160603
9.914409604295516 0.9884602705696216 0.021396571071502404 -6.412341716201037E-4  -0.3823893160612796 -0.3823893160612796 -0.3823893160612796 0.0 0.0 0.0 296.5578226152142 NaN 3.5198145413006987 1.2259894435227966E-4 0.3823893160612796 1.0338467220689527 3.6320870379086925E-6 9.914409604295516 296.5578226152142
9.917678450132884 0.9881344761554246 0.0220150886431189 -6.283458826695211E-4  -0.39389171240657594 -0.39389171240657594 -0.39389171240657594 0.0 0.0 0.0 296.65889300801615 NaN 3.520986905058083 1.2259895169977204E-4 0.39389171240657594 1.0335059064372158 3.6284846169808842E-6 9.917678450132884 296.65889300801615
9.920947295970276 0.9878088964327628 0.02263396030923953 -6.15030629393584E-4  -0.40541510538715375 -0.40541510538715375 -0.40541510538715375 0.0 0.0 0.0 296.75993120493035 NaN 3.532531200238989 1.225989499286796E-4 0.40541510538715375 1.033165392239758 3.614243859596242E-6 9.920947295970276 296.75993120493035
9.924216141807683 0.9874835311894913 0.023253185762207668 -6.01455802056214E-4  -0.4169513230065666 -0.4169513230065666 -0.4169513230065666 0.0 0.0 0.0 296.86093722612964 NaN 3.53370398262734 1.2259894258118714E-4 0.4169513230065666 1.0328251493378766 3.610664604664849E-6 9.924216141807683 296.86093722612964
9.927484987645114 0.9871583802137429 0.023872764411777245 -5.873407504408494E-4  -0.4285140814656915 -0.4285140814656915 -0.4285140814656915 0.0 0.0 0.0 296.96191107942707 NaN 3.545260920210666 1.2259894098808806E-4 0.4285140814656915 1.0324850820396254 3.596524820041834E-6 9.927484987645114 296.96191107942707
9.930753833482562 0.9868334432939309 0.024492695950829847 -5.730789397362833E-4  -0.44008415901272874 -0.44008415901272874 -0.44008415901272874 0.0 0.0 0.0 297.062852770016 NaN 3.546434107628445 1.2260085784995443E-4 0.44008415901272874 1.0321451115511984 3.5930243238601357E-6 9.930753833482562 297.062852770016
9.934022679320028 0.9865087202187461 0.0251129799372976 -5.581633770361232E-4  -0.4516863457277827 -0.4516863457277827 -0.4516863457277827 0.0 0.0 0.0 297.1637622963204 NaN 3.5580070168177564 1.2260085784995448E-4 0.4516863457277827 1.0318054784176576 3.5789809854601882E-6 9.934022679320028 297.1637622963204
9.937291525157516 0.9861842107771576 0.0257340695118938 -5.431386350787915E-4  -0.4632940240878178 -0.4632940240878178 -0.4632940240878178 0.0 0.0 0.0 297.2646396789968 NaN 3.569588930372555 1.2260085784995448E-4 0.4632940240878178 1.0314660687269561 3.5650220314060157E-6 9.937291525157516 297.2646396789968
