# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
5.6430012315328115 0.9439199673350974 0.22103598702071428 0.026675443572505245  -4.56232038864974 -4.56232038864974 -4.56232038864974 0.0 0.0 0.0 310.2473253796124 -0.10233873739289712 14.825423654625729 3.245253240117093E-4 4.56232038864974 0.9973498698150144 3.86882307753171E-6 5.6430012315328115 310.2473253796124
5.652590919352035 0.9423185958680617 0.2275765634406635 0.029108348270597828  -4.697725179373945 -4.697725179373945 -4.697725179373945 0.0 0.0 0.0 310.7739764733159 -0.10011798807913966 14.850975268640331 3.2443004848865093E-4 4.697725179373945 1.0004489137490524 3.866459425947619E-6 5.652590919352035 310.7739764733159
5.662180607179042 0.9407226486888952 0.23411167923604106 0.0315416820242074  -4.833141668129878 -4.833141668129878 -4.833141668129878 0.0 0.0 0.0 311.3022598545264 -0.09789732013063122 14.87658700321332 3.2433477296551523E-4 4.833141668129878 1.0035402704094427 3.864037152408976E-6 5.662180607179042 311.3022598545264
5.671770295013796 0.9391320982838586 0.24064136115311643 0.03397544395634629  -4.968569892972725 -4.968569892972725 -4.968569892972725 0.0 0.0 0.0 311.83217425742714 -0.09567673038609702 14.902258071020459 3.242394974423025E-4 4.968569892972725 1.0066239812614683 3.861557236441161E-6 5.671770295013796 311.83217425742714
5.681359982856255 0.937546917324977 0.2471656356100875 0.03640963320057219  -5.104009891973553 -5.104009891973553 -5.104009891973553 0.0 0.0 0.0 312.36371844724977 -0.09345621569939017 14.927987693768014 3.241442219190133E-4 5.104009891973553 1.0097000874933522 3.859020645125302E-6 5.681359982856255 312.36371844724977
5.69094967070638 0.9359670786684742 0.2536845287018901 0.038844248900876364  -5.239461703220159 -5.239461703220159 -5.239461703220159 0.0 0.0 0.0 312.89689121996884 -0.09123577293928349 14.953775102086388 3.2404894639564784E-4 5.239461703220159 1.0127686300185996 3.856428333218239E-6 5.69094967070638 312.89689121996884
5.700539358564133 0.9343925553532235 0.2601980662049261 0.04127929021157002  -5.374925364817692 -5.374925364817692 -5.374925364817692 0.0 0.0 0.0 313.43169140199916 -0.08901539898926693 14.979619535425 3.2395367087220667E-4 5.374925364817692 1.0158296494783103 3.853781243272465E-6 5.700539358564133 313.43169140199916
5.710129046429475 0.9328233205992139 0.26670627358172383 0.043714756297173404  -5.5104009148893685 -5.5104009148893685 -5.5104009148893685 0.0 0.0 0.0 313.9681178498979 -0.0867950907473465 15.005520241948677 3.238583953486901E-4 5.5104009148893685 1.0188831862434726 3.851080305755943E-6 5.710129046429475 313.9681178498979
5.7197187343023685 0.9312593478060318 0.27320917598552996 0.04615064633230704  -5.645888391577199 -5.645888391577199 -5.645888391577199 0.0 0.0 0.0 314.50616945007073 -0.08457484512584536 15.03147647843529 3.237631198250985E-4 5.645888391577199 1.0219292804172313 3.848326439171817E-6 5.7197187343023685 314.50616945007073
5.729308422182777 0.929700610551358 0.27970679826482775 0.04858695950158259  -5.781387833042608 -5.781387833042608 -5.781387833042608 0.0 0.0 0.0 315.0458451184812 -0.08235465905120863 15.057487510174733 3.236678443014322E-4 5.781387833042608 1.0249679718371323 3.845520550177937E-6 5.729308422182777 315.0458451184812
5.738898110070662 0.9281470825894801 0.2861990691000591 0.05102533239551281  -5.916908512354908 -5.916908512354908 -5.916908512354908 0.0 0.0 0.0 315.5871438003648 -0.08014503465924215 15.082662100697142 3.299383603804126E-4 5.916908512354908 1.0271265416915318 3.915166607142558E-6 5.738898110070662 315.5871438003648
5.748487797965984 0.9265987378498189 0.29268601400650573 0.053465807823299336  -6.05245082319435 -6.05245082319435 -6.05245082319435 0.0 0.0 0.0 316.1296058424396 -0.07794692375407587 15.108788562451167 3.2986003192514494E-4 6.05245082319435 1.030158085027695 3.912463641051657E-6 5.748487797965984 316.1296058424396
5.758077485868709 0.92505555043547 0.2991677537386134 0.055906733840550386  -6.188005580950238 -6.188005580950238 -6.188005580950238 0.0 0.0 0.0 316.6736918925801 -0.07574891950625064 15.134967576470329 3.2978170346981687E-4 6.188005580950238 1.0331817809829213 3.90970776217252E-6 5.758077485868709 316.6736918925801
5.767667173778798 0.9235174946217606 0.3056443119364388 0.058348109648997726  -6.323572824718392 -6.323572824718392 -6.323572824718392 0.0 0.0 0.0 317.2194006871025 -0.0735510186714183 15.161198404680455 3.297033750144287E-4 6.323572824718392 1.0361976703009912 3.906899880502531E-6 5.767667173778798 317.2194006871025
5.777256861696214 0.9219845448548193 0.31211571194937987 0.06078993446024305  -6.4591525936084 -6.4591525936084 -6.4591525936084 0.0 0.0 0.0 317.7667309910629 -0.07135321802050264 15.187480317432378 3.296250465589806E-4 6.4591525936084 1.0392057934566834 3.90404089419631E-6 5.777256861696214 317.7667309910629
5.786846549620923 0.9204566757501613 0.31858197684046324 0.06323220749565202  -6.594744926744251 -6.594744926744251 -6.594744926744251 0.0 0.0 0.0 318.3156815979712 -0.06915551433949635 15.213812593403642 3.2954671810347296E-4 6.594744926744251 1.0422061906580025 3.9011316896876475E-6 5.786846549620923 318.3156815979712
5.796436237552886 0.9189338620912877 0.3250431293905668 0.06567492798624935  -6.7303498632649434 -6.7303498632649434 -6.7303498632649434 0.0 0.0 0.0 318.86625132950826 -0.06695790442926056 15.240194519501424 3.294683896479061E-4 6.7303498632649434 1.0451989018483898 3.898173141811124E-6 5.796436237552886 318.86625132950826
5.806025925492069 0.9174160788282967 0.3314991921025827 0.06811809517261712  -6.865967442325199 -6.865967442325199 -6.865967442325199 0.0 0.0 0.0 319.41843903524745 -0.06476038510532538 15.266625390766741 3.293900611922802E-4 6.865967442325199 1.0481839667089095 3.89516611392332E-6 5.806025925492069 319.41843903524745
