# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
11.589243083047428 0.9787077846052745 0.054779672390396675 0.011693361366113226  -1.6209318876832373 -1.6209318876832373 -1.6209318876832373 0.0 0.0 0.0 310.44136802803024 -0.08019350944030605 6.757370086225773 1.196741326062462E-4 1.6209318876832373 2.672889452765369 4.084590364579399E-6 11.589243083047428 310.44136802803024
11.597752071331396 0.9779897305357088 0.056688455524223955 0.012091546738644876  -1.6775095161652167 -1.6775095161652167 -1.6775095161652167 0.0 0.0 0.0 311.0508688055413 -0.07998309979976585 6.770093367704897 1.1966984921266828E-4 1.6775095161652167 2.6719588471748206 4.072358753962781E-6 11.597752071331396 311.0508688055413
11.606261059615923 0.9772727293312061 0.058597630031001505 0.012489791004012919  -1.7340907138261947 -1.7340907138261947 -1.7340907138261947 0.0 0.0 0.0 311.6609053618957 -0.07977259290960673 6.782790174659679 1.1966556581909008E-4 1.7340907138261947 2.671029679822088 4.060197833680908E-6 11.606261059615923 311.6609053618957
11.61477004790101 0.9765567786777779 0.060507189941492096 0.012888094126665731  -1.7906754818625743 -1.7906754818625743 -1.7906754818625743 0.0 0.0 0.0 312.27147745752745 -0.07956198836271312 6.795460585370315 1.196612824255116E-4 1.7906754818625743 2.6701019475541194 4.048106994071683E-6 11.61477004790101 312.27147745752745
11.623279036186652 0.9758418762682114 0.06241712932564476 0.013286456071076161  -1.8472638214701278 -1.8472638214701278 -1.8472638214701278 0.0 0.0 0.0 312.8825848530419 -0.07935128575222065 6.808104677829876 1.1965699903193282E-4 1.8472638214701278 2.669175647227098 4.036085632461184E-6 11.623279036186652 312.8825848530419
11.63178802447285 0.9751280198020449 0.06432744229229931 0.013684876801741772  -1.9038557338440438 -1.9038557338440438 -1.9038557338440438 0.0 0.0 0.0 313.4942273092157 -0.07914048467151566 6.820722529745581 1.1965271563835379E-4 1.9038557338440438 2.6682507757064045 4.024133153063824E-6 11.63178802447285 313.4942273092157
11.640297012759603 0.9744152069855433 0.06623812298889088 0.014083356283184738  -1.960451220178897 -1.960451220178897 -1.960451220178897 0.0 0.0 0.0 314.10640458699737 -0.07892958471423547 6.833314218540062 1.1964843224477445E-4 1.960451220178897 2.6673273298665903 4.012248966884225E-6 11.640297012759603 314.10640458699737
11.64880600104691 0.9737034355316734 0.06814916560115933 0.014481894479951995  -2.017050281668673 -2.017050281668673 -2.017050281668673 0.0 0.0 0.0 314.7191164475076 -0.07871858547426812 6.845879821352606 1.1964414885119487E-4 2.017050281668673 2.666405306591337 4.000432491620751E-6 11.64880600104691 314.7191164475076
11.65731498933477 0.9729927031600794 0.07006056435285968 0.014880491356615108  -2.073652919506746 -2.073652919506746 -2.073652919506746 0.0 0.0 0.0 315.3323626520393 -0.07850748654575233 6.858419415040392 1.1963986545761498E-4 2.073652919506746 2.665484702773429 3.9886831515707105E-6 11.65731498933477 315.3323626520393
11.66582397762318 0.9722830075970589 0.07197231350547664 0.015279146877770437  -2.1302591348858946 -2.1302591348858946 -2.1302591348858946 0.0 0.0 0.0 315.9461429620585 -0.07829628752307755 6.870933076179734 1.1963558206403483E-4 2.1302591348858946 2.6645655153147136 3.97700037753713E-6 11.66582397762318 315.9461429620585
