# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
10.07240909345786 0.9732229806240654 0.051240005755800296 4.0459198622023963E-4  -0.9595520599761143 -0.9595520599761143 -0.9595520599761143 0.0 0.0 0.0 301.3192752685321 NaN 3.8233213116062217 1.2260721536197866E-4 0.9595520599761143 1.0176021786999236 3.2398126960643154E-6 10.07240909345786 301.3192752685321
10.077312895159805 0.9727493928176326 0.052191846886521925 4.4825124320006766E-4  -0.9780130390208632 -0.9780130390208632 -0.9780130390208632 0.0 0.0 0.0 301.4685206846255 NaN 3.825090472310626 1.2260721536197866E-4 0.9780130390208632 1.0171085686444574 3.2351683626840153E-6 10.077312895159805 301.4685206846255
10.082216696861844 0.9722762656997003 0.053148590325363086 4.9472859045366E-4  -0.9966134230596109 -0.9966134230596109 -0.9966134230596109 0.0 0.0 0.0 301.6176949655761 NaN 3.910065600461389 1.2260721469725666E-4 0.9966134230596109 1.0166132933275729 3.1617806669453437E-6 10.082216696861844 301.6176949655761
10.087120498563973 0.9718035985983845 0.05411023212121729 5.466378329755958E-4  -1.0154821967319643 -1.0154821967319643 -1.0154821967319643 0.0 0.0 0.0 301.76679736944334 NaN 3.9118680003416624 1.226072127531576E-4 1.0154821967319643 1.0161143723091064 3.157237214813922E-6 10.087120498563973 301.76679736944334
10.0920243002662 0.9713313908431068 0.05507162777069327 5.985382484808977E-4  -1.034350878197833 -1.034350878197833 -1.034350878197833 0.0 0.0 0.0 301.9158277837636 NaN 3.913666823309723 1.2260721080905852E-4 1.034350878197833 1.0156159361505384 3.152705332435315E-6 10.0920243002662 301.9158277837636
10.096928101968519 0.9708596417645922 0.05603277697379203 6.504297122259043E-4  -1.0532194656743925 -1.0532194656743925 -1.0532194656743925 0.0 0.0 0.0 302.0647862418348 NaN 3.915461268532307 1.2260470183953842E-4 1.0532194656743925 1.0151100377390716 3.1480966100091367E-6 10.096928101968519 302.0647862418348
10.10183190367093 0.9703883506948647 0.05699367949481497 7.02311983873115E-4  -1.0720879566352899 -1.0720879566352899 -1.0720879566352899 0.0 0.0 0.0 302.21367172633126 NaN 3.917253172234617 1.2260469989547557E-4 1.0720879566352899 1.0146141426819388 3.1435925571121034E-6 10.10183190367093 302.21367172633126
10.106735705373438 0.9699175169672447 0.057954335149629506 7.541854691721537E-4  -1.090956356389648 -1.090956356389648 -1.090956356389648 0.0 0.0 0.0 302.36248555150235 NaN 3.919041528208475 1.226046979514127E-4 1.090956356389648 1.0141187288425892 3.1390999262220527E-6 10.106735705373438 302.36248555150235
10.11163950707604 0.9694471399163462 0.05891474369349865 8.060501722008396E-4  -1.1098246649800876 -1.1098246649800876 -1.1098246649800876 0.0 0.0 0.0 302.51122775060463 NaN 3.9208263442502247 1.2260469600734982E-4 1.1098246649800876 1.0136237955209004 3.1346186746279434E-6 10.11163950707604 302.51122775060463
10.116543308778732 0.9689772188780735 0.05987490488332508 8.579060970395367E-4  -1.1286928824492466 -1.1286928824492466 -1.1286928824492466 0.0 0.0 0.0 302.65989835691556 NaN 3.922607628135988 1.2260469406328694E-4 1.1286928824492466 1.0131293420181071 3.1301487598309324E-6 10.116543308778732 302.65989835691556
