#rho(g/cc) e(MJ/kg) p(GPa)
38.47143072687016 10.602254035012587 1210.0
38.5765528674259 10.68832116181074 1220.0
38.68121853758083 10.774264435146133 1230.0600000000002
38.78703788592777 10.861405623457827 1240.0
38.89384108443985 10.949592783949303 1250.0
38.95313099816252 10.999945952645062 1260.0
39.060326558594234 11.089092028696108 1270.0
39.16740776679161 11.178352258063592 1280.1000000000001
39.27557764355374 11.268715053801063 1290.0
39.380297718750015 11.356378752660014 1300.0100000000002
39.48413911784696 11.443515476411264 1310.0
39.58423129152306 11.527730909451565 1320.0
39.683923267483685 11.61183352808187 1330.03
39.78324933829156 11.695838891318417 1340.0
39.88366955277274 11.780975856727059 1350.0
39.9825214018345 11.864976566109492 1359.99
40.08149187801857 11.949273395427598 1370.0
40.17964849341393 12.033078042737806 1380.0
40.27751733495093 12.116842721382275 1390.0
40.37589305183711 12.201246926380072 1400.03
40.477088878577284 12.288264339716626 1410.0
40.57846629900257 12.375612467561153 1420.0
40.6787659864072 12.462210590803249 1430.0
40.77854993754194 12.548563380216075 1440.0
40.879787651589176 12.636364520129709 1450.0
40.98078722306376 12.724121840867353 1459.8700000000001
41.0843058770497 12.81422803287685 1469.99
41.18558964550347 12.90253752786481 1479.99
41.275315255180146 12.980892165738693 1490.2
41.37713849206942 13.069981232076843 1499.98
41.473795570131706 13.154749827388075 1509.99
41.56864177473987 13.238127695961593 1520.0
41.66663155226023 13.324447303579264 1529.92
41.76935350062911 13.415073480681455 1540.0
41.870801981229434 13.504690667123164 1550.0
41.969128901645874 13.59167706861638 1559.9700000000003
42.06446107285349 13.67616111399036 1570.13
42.15804684220452 13.759255766916148 1580.0
42.24933506904889 13.840476966545951 1590.0
42.33958707612204 13.920946942706772 1600.0
42.411251008827925 13.984965973948276 1609.99
42.5230924534155 14.085080043766936 1620.0
42.61852078428698 14.17065976245119 1630.0
42.71475466320896 14.257086819619252 1640.0
42.809995862479646 14.342751281847418 1650.0
42.903563056878575 14.427050918252132 1660.0
42.995572356516035 14.510090311277235 1670.0
43.08599828730162 14.591845074357817 1680.0
43.17426037547882 14.671789215789872 1690.0
43.25669560270169 14.746599735994646 1700.06
43.34631322958044 14.828088052076447 1710.0
43.41757559379596 14.893002470075333 1720.0400000000002
43.51648613248833 14.983272631954726 1730.0
43.598952018650394 15.058687058984566 1739.7400000000002
43.6855803098725 15.138056527921167 1750.0
43.76972300647147 15.21529179845768 1760.0
43.85359618000809 15.29242106453937 1770.0
43.9381001719665 15.370275440797519 1779.9
44.017945401707436 15.443969317646992 1790.0
44.10397015207351 15.523509395582673 1800.0
44.18723719117971 15.60064211973652 1810.0
44.270769901125576 15.678157443331408 1820.0
44.35476301324618 15.756232549858732 1830.0
44.43904233730011 15.834702333686584 1840.0
44.523108094961884 15.91309493648346 1850.0
44.60647422675179 15.99096131673039 1860.0
44.6890790046176 16.068244081510226 1870.0
44.76976090478327 16.14385636659369 1880.0500000000002
44.85249600323315 16.221527261883242 1890.0
44.93382030332311 16.298005690160636 1900.0
45.01448252658119 16.373989577184645 1909.9400000000003
45.09619650439115 16.45109448901986 1920.0
45.17741150399943 16.527853570555067 1930.0
45.25871692675241 16.604819794767533 1940.0
45.33720897863816 16.679235217532177 1949.9900000000002
45.421583871231576 16.759347774926898 1960.0
45.503278190606586 16.837035895940357 1970.0
45.58525141454744 16.91509684699475 1980.0
45.66717641298169 16.99321920306871 1990.0
45.748741987108886 17.071104300304306 2000.0
