#           USTAR            CLAG         DENSITY          STRESS
  9.24080501e+01  9.51001884e+03  3.61592842e+03  3.07825798e+09
  9.29596107e+01  9.50665977e+03  3.61614029e+03  3.09703302e+09
  9.35111714e+01  9.49837930e+03  3.61635231e+03  3.11579658e+09
  9.40627320e+01  9.51113404e+03  3.61656431e+03  3.13456455e+09
  9.46142927e+01  9.51493188e+03  3.61677615e+03  3.15334886e+09
  9.51658534e+01  9.49973645e+03  3.61698815e+03  3.17212192e+09
  9.57174140e+01  9.49422508e+03  3.61720039e+03  3.19087454e+09
  9.62689747e+01  9.49879431e+03  3.61741268e+03  3.20962622e+09
  9.68205354e+01  9.51278961e+03  3.61762478e+03  3.22839624e+09
  9.73720960e+01  9.51607279e+03  3.61783671e+03  3.24718331e+09
  9.79236567e+01  9.51337078e+03  3.61804867e+03  3.26597096e+09
  9.84752174e+01  9.49834005e+03  3.61826084e+03  3.28474110e+09
  9.90267780e+01  9.48824791e+03  3.61847332e+03  3.30348644e+09
  9.95783387e+01  9.51149311e+03  3.61868568e+03  3.32224476e+09
  1.00129899e+02  9.51818911e+03  3.61889773e+03  3.34103264e+09
  1.00681460e+02  9.51490041e+03  3.61910976e+03  3.35982389e+09
  1.01233021e+02  9.50031102e+03  3.61932202e+03  3.37859749e+09
  1.01784581e+02  9.49043427e+03  3.61953458e+03  3.39734693e+09
  1.02336142e+02  9.51296470e+03  3.61974702e+03  3.41610886e+09
  1.02887703e+02  9.51908523e+03  3.61995917e+03  3.43489908e+09
  1.03439263e+02  9.52398768e+03  3.62017122e+03  3.45370019e+09
  1.03990824e+02  9.52338061e+03  3.62038325e+03  3.47250553e+09
  1.04542385e+02  9.50836714e+03  3.62059547e+03  3.49129545e+09
  1.05093945e+02  9.51553718e+03  3.62080781e+03  3.51007763e+09
  1.05645506e+02  9.52796788e+03  3.62101995e+03  3.52887916e+09
  1.06197067e+02  9.52753993e+03  3.62123199e+03  3.54769254e+09
  1.06748627e+02  9.51720388e+03  3.62144417e+03  3.56649530e+09
  1.07300188e+02  9.50920093e+03  3.62165657e+03  3.58527994e+09
  1.07851749e+02  9.52505651e+03  3.62186892e+03  3.60407234e+09
  1.08403309e+02  9.53137476e+03  3.62208104e+03  3.62288664e+09
  1.08954870e+02  9.52036794e+03  3.62229325e+03  3.64169630e+09
  1.09506431e+02  9.52518425e+03  3.62250554e+03  3.66049985e+09
  1.10057991e+02  9.53411466e+03  3.62271771e+03  3.67931698e+09
  1.10609552e+02  9.51744984e+03  3.62292998e+03  3.69812646e+09
  1.11161113e+02  9.51623096e+03  3.62314249e+03  3.71691829e+09
  1.11712673e+02  9.53065157e+03  3.62335487e+03  3.73572316e+09
  1.12264234e+02  9.53969762e+03  3.62356701e+03  3.75455119e+09
  1.12815795e+02  9.52740856e+03  3.62377921e+03  3.77337602e+09
  1.13367355e+02  9.51463309e+03  3.62399172e+03  3.79217611e+09
  1.13918916e+02  9.53816144e+03  3.62420414e+03  3.81098681e+09
  1.14470477e+02  9.53609052e+03  3.62441633e+03  3.82981870e+09
  1.15022037e+02  9.52798301e+03  3.62462867e+03  3.84864054e+09
  1.15573598e+02  9.53802285e+03  3.62484101e+03  3.86746428e+09
  1.16125159e+02  9.53232886e+03  3.62505333e+03  3.88629232e+09
  1.16676719e+02  9.53737423e+03  3.62526568e+03  3.90511971e+09
  1.17228280e+02  9.54478540e+03  3.62547791e+03  3.92395941e+09
  1.17779841e+02  9.55238167e+03  3.62569001e+03  3.94281392e+09
  1.18331401e+02  9.56149801e+03  3.62590194e+03  3.96168493e+09
  1.18882962e+02  9.54549664e+03  3.62611397e+03  3.98054914e+09
  1.19434523e+02  9.54920810e+03  3.62632617e+03  3.99940122e+09
  1.19986083e+02  9.56760626e+03  3.62653814e+03  4.01827513e+09
  1.20537644e+02  9.57545487e+03  3.62674985e+03  4.03717495e+09
  1.21089205e+02  9.57357128e+03  3.62696152e+03  4.05608066e+09
  1.21640765e+02  9.55847014e+03  3.62717340e+03  4.07496960e+09
  1.22192326e+02  9.57158152e+03  3.62738533e+03  4.09385658e+09
  1.22743887e+02  9.57910984e+03  3.62759705e+03  4.11276394e+09
  1.23295447e+02  9.57618576e+03  3.62780875e+03  4.13167584e+09
  1.23847008e+02  9.58455767e+03  3.62802041e+03  4.15059312e+09
  1.24398569e+02  9.58860231e+03  3.62823196e+03  4.16952265e+09
  1.24950129e+02  9.59625539e+03  3.62844340e+03  4.18846374e+09
