#           USTAR            CLAG         DENSITY          STRESS
  8.69853334e+02  8.43789553e+03  4.05265713e+03  2.34524889e+10
  8.75646264e+02  8.44680802e+03  4.05580755e+03  2.36275723e+10
  8.81439194e+02  8.45583394e+03  4.05895953e+03  2.38028416e+10
  8.87232123e+02  8.46455650e+03  4.06211309e+03  2.39782949e+10
  8.93025053e+02  8.47759139e+03  4.06526750e+03  2.41539739e+10
  8.98817983e+02  8.49142742e+03  4.06842181e+03  2.43299315e+10
  9.04610913e+02  8.50519424e+03  4.07157588e+03  2.45061753e+10
  9.10403843e+02  8.51904675e+03  4.07472972e+03  2.46827055e+10
  9.16196773e+02  8.53341571e+03  4.07788321e+03  2.48595284e+10
  9.21989703e+02  8.54625933e+03  4.08103655e+03  2.50366334e+10
  9.27782633e+02  8.56654784e+03  4.08418866e+03  2.52140820e+10
  9.33575562e+02  8.58233873e+03  4.08733899e+03  2.53919047e+10
  9.39368492e+02  8.58680710e+03  4.09049046e+03  2.55699375e+10
  9.45161422e+02  8.61130549e+03  4.09364147e+03  2.57482707e+10
  9.50954352e+02  8.65065092e+03  4.09678567e+03  2.59272658e+10
  9.56747282e+02  8.67742244e+03  4.09992268e+03  2.61069466e+10
  9.62540212e+02  8.69866066e+03  4.10305580e+03  2.62871252e+10
  9.68333142e+02  8.71648555e+03  4.10618666e+03  2.64677088e+10
  9.74126071e+02  8.73912838e+03  4.10931504e+03  2.66487121e+10
  9.79919001e+02  8.77396534e+03  4.11243790e+03  2.68303114e+10
  9.85711931e+02  8.79880360e+03  4.11555488e+03  2.70125295e+10
  9.91504861e+02  8.83126667e+03  4.11866644e+03  2.71953418e+10
  9.97297791e+02  8.86794300e+03  4.12177052e+03  2.73788710e+10
  1.00309072e+03  8.89103593e+03  4.12486881e+03  2.75630200e+10
  1.00888365e+03  8.93224510e+03  4.12796057e+03  2.77478357e+10
  1.01467658e+03  8.96977969e+03  4.13104333e+03  2.79334680e+10
  1.02046951e+03  9.00983110e+03  4.13411738e+03  2.81199047e+10
  1.02626244e+03  9.05244428e+03  4.13718190e+03  2.83071987e+10
  1.03205537e+03  9.09789138e+03  4.14023607e+03  2.84954058e+10
  1.03784830e+03  9.13629285e+03  4.14328067e+03  2.86844823e+10
  1.04364123e+03  9.17262643e+03  4.14631729e+03  2.88743338e+10
  1.04943416e+03  9.21813021e+03  4.14934483e+03  2.90650339e+10
  1.05522709e+03  9.24491987e+03  4.15236491e+03  2.92564836e+10
  1.06102002e+03  9.28816331e+03  4.15537796e+03  2.94486595e+10
  1.06681295e+03  9.32685453e+03  4.15838209e+03  2.96416851e+10
  1.07260588e+03  9.36641838e+03  4.16137796e+03  2.98355221e+10
  1.07839881e+03  9.41003195e+03  4.16436485e+03  3.00302215e+10
  1.08419174e+03  9.43857672e+03  4.16734457e+03  3.02256693e+10
  1.08998467e+03  9.47405411e+03  4.17031845e+03  3.04217808e+10
  1.09577760e+03  9.51304715e+03  4.17328489e+03  3.06186646e+10
  1.10157053e+03  9.55389314e+03  4.17624311e+03  3.08163763e+10
  1.10736346e+03  9.59258947e+03  4.17919321e+03  3.10149128e+10
  1.11315639e+03  9.63002417e+03  4.18213576e+03  3.12142387e+10
  1.11894932e+03  9.67006439e+03  4.18507063e+03  3.14143679e+10
  1.12474225e+03  9.70733798e+03  4.18799789e+03  3.16152989e+10
  1.13053518e+03  9.74151044e+03  4.19091846e+03  3.18169707e+10
  1.13632811e+03  9.77528511e+03  4.19383292e+03  3.20193471e+10
  1.14212104e+03  9.81678129e+03  4.19674023e+03  3.22225040e+10
  1.14791397e+03  9.84767310e+03  4.19964083e+03  3.24264115e+10
  1.15370690e+03  9.87532080e+03  4.20253682e+03  3.26309260e+10
  1.15949983e+03  9.91065943e+03  4.20542757e+03  3.28360936e+10
  1.16529276e+03  9.94328347e+03  4.20831239e+03  3.30419660e+10
  1.17108569e+03  9.96161740e+03  4.21119375e+03  3.32483668e+10
  1.17687862e+03  9.97892291e+03  4.21407391e+03  3.34551371e+10
  1.18267155e+03  1.00021725e+04  4.21695215e+03  3.36623280e+10
  1.18846448e+03  1.00136617e+04  4.21982932e+03  3.38698791e+10
  1.19425741e+03  1.00216526e+04  4.22270761e+03  3.40776321e+10
  1.20005034e+03  1.00281799e+04  4.22558775e+03  3.42855357e+10
  1.20584327e+03  1.00509980e+04  4.22846760e+03  3.44937437e+10
  1.21163620e+03  1.00525256e+04  4.23134788e+03  3.47022040e+10
  1.21742913e+03  1.00534413e+04  4.23423174e+03  3.49106897e+10
  1.22322206e+03  1.00642166e+04  4.23711785e+03  3.51192966e+10
  1.22901499e+03  1.00646102e+04  4.24000629e+03  3.53280194e+10
  1.23480792e+03  1.00788164e+04  4.24289658e+03  3.55368935e+10
  1.24060084e+03  1.00793373e+04  4.24578869e+03  3.57459203e+10
  1.24639377e+03  1.00862435e+04  4.24868368e+03  3.59550242e+10
  1.25218670e+03  1.00940820e+04  4.25158051e+03  3.61642809e+10
  1.25797963e+03  1.00986526e+04  4.25447950e+03  3.63736664e+10
  1.26377256e+03  1.01079093e+04  4.25738046e+03  3.65831952e+10
  1.26956549e+03  1.01113521e+04  4.26028355e+03  3.67928557e+10
  1.27535842e+03  1.01185910e+04  4.26318907e+03  3.70026269e+10
  1.28115135e+03  1.01402012e+04  4.26609441e+03  3.72126973e+10
  1.28694428e+03  1.01504218e+04  4.26899915e+03  3.74230978e+10
  1.29273721e+03  1.01641959e+04  4.27190440e+03  3.76337470e+10
  1.29853014e+03  1.01877154e+04  4.27480828e+03  3.78447830e+10
  1.30432307e+03  1.01977599e+04  4.27771132e+03  3.80561670e+10
  1.31011600e+03  1.02018677e+04  4.28061628e+03  3.82676978e+10
  1.31590893e+03  1.02108286e+04  4.28352333e+03  3.84793641e+10
  1.32170186e+03  1.02358352e+04  4.28642950e+03  3.86913826e+10
